scene_id,scene_family,condition_key,target_object_id,RETRIEVE_NOW,REARRANGE_FIRST,unanimous,v16_REARRANGE_FIRST,changed_vs_v16
scene_fc_blocked_v01,FC_BLOCKED,C3_D4,64,3,2,False,2,0
scene_fc_blocked_v02,FC_BLOCKED,C3_D4,53,4,1,False,1,0
scene_fc_blocked_v03,FC_BLOCKED,C3_D4,12,5,0,True,0,0
scene_fc_blocked_v04,FC_BLOCKED,C3_D4,89,5,0,True,0,0
scene_fc_blocked_v05,FC_BLOCKED,C3_D4,59,5,0,True,0,0
scene_fc_clear_v01,FC_CLEAR,C3_D4,53,5,0,True,0,0
scene_fc_clear_v02,FC_CLEAR,C3_D4,29,4,1,False,1,0
scene_fc_clear_v03,FC_CLEAR,C3_D4,95,5,0,True,0,0
scene_fc_clear_v04,FC_CLEAR,C3_D4,61,5,0,True,0,0
scene_fc_clear_v05,FC_CLEAR,C3_D4,62,3,2,False,2,0
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,C3_D4,59,2,3,False,3,0
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,C3_D4,70,0,5,True,5,0
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,C3_D4,12,2,3,False,3,0
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,C3_D4,68,0,5,True,5,0
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,C3_D4,43,1,4,False,4,0
scene_rotate_v01,ROTATE,C3_D4,12,0,5,True,5,0
scene_rotate_v02,ROTATE,C3_D4,38,2,3,False,3,0
scene_rotate_v03,ROTATE,C3_D4,83,0,5,True,5,0
scene_rotate_v04,ROTATE,C3_D4,47,2,3,False,3,0
scene_rotate_v05,ROTATE,C3_D4,44,0,5,True,5,0
scene_translate_v01,TRANSLATE,C3_D4,67,0,5,True,5,0
scene_translate_v02,TRANSLATE,C3_D4,45,1,4,False,4,0
scene_translate_v03,TRANSLATE,C3_D4,18,3,2,False,2,0
scene_translate_v04,TRANSLATE,C3_D4,13,0,5,True,5,0
scene_translate_v05,TRANSLATE,C3_D4,54,0,5,True,5,0
scene_fc_blocked_v01,FC_BLOCKED,C3_D8,64,3,2,False,2,0
scene_fc_blocked_v02,FC_BLOCKED,C3_D8,53,3,2,False,2,0
scene_fc_blocked_v03,FC_BLOCKED,C3_D8,12,5,0,True,0,0
scene_fc_blocked_v04,FC_BLOCKED,C3_D8,89,5,0,True,0,0
scene_fc_blocked_v05,FC_BLOCKED,C3_D8,59,5,0,True,0,0
scene_fc_clear_v01,FC_CLEAR,C3_D8,53,5,0,True,0,0
scene_fc_clear_v02,FC_CLEAR,C3_D8,29,5,0,True,0,0
scene_fc_clear_v03,FC_CLEAR,C3_D8,95,5,0,True,0,0
scene_fc_clear_v04,FC_CLEAR,C3_D8,61,5,0,True,0,0
scene_fc_clear_v05,FC_CLEAR,C3_D8,62,5,0,True,0,0
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,C3_D8,59,0,5,True,5,0
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,C3_D8,70,1,4,False,4,0
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,C3_D8,12,0,5,True,5,0
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,C3_D8,68,0,5,True,5,0
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,C3_D8,43,0,5,True,5,0
scene_rotate_v01,ROTATE,C3_D8,12,0,5,True,5,0
scene_rotate_v02,ROTATE,C3_D8,38,2,3,False,3,0
scene_rotate_v03,ROTATE,C3_D8,83,0,5,True,5,0
scene_rotate_v04,ROTATE,C3_D8,47,2,3,False,3,0
scene_rotate_v05,ROTATE,C3_D8,44,0,5,True,5,0
scene_translate_v01,TRANSLATE,C3_D8,67,0,5,True,5,0
scene_translate_v02,TRANSLATE,C3_D8,45,2,3,False,3,0
scene_translate_v03,TRANSLATE,C3_D8,18,2,3,False,3,0
scene_translate_v04,TRANSLATE,C3_D8,13,1,4,False,4,0
scene_translate_v05,TRANSLATE,C3_D8,54,0,5,True,5,0
scene_fc_blocked_v01,FC_BLOCKED,C4_D4,64,2,3,False,3,0
scene_fc_blocked_v02,FC_BLOCKED,C4_D4,53,3,2,False,2,0
scene_fc_blocked_v03,FC_BLOCKED,C4_D4,12,3,2,False,2,0
scene_fc_blocked_v04,FC_BLOCKED,C4_D4,89,5,0,True,0,0
scene_fc_blocked_v05,FC_BLOCKED,C4_D4,59,0,5,True,5,0
scene_fc_clear_v01,FC_CLEAR,C4_D4,53,4,1,False,1,0
scene_fc_clear_v02,FC_CLEAR,C4_D4,29,3,2,False,2,0
scene_fc_clear_v03,FC_CLEAR,C4_D4,95,5,0,True,0,0
scene_fc_clear_v04,FC_CLEAR,C4_D4,61,2,3,False,3,0
scene_fc_clear_v05,FC_CLEAR,C4_D4,62,2,3,False,3,0
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,C4_D4,59,0,5,True,5,0
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,C4_D4,70,0,5,True,5,0
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,C4_D4,12,0,5,True,5,0
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,C4_D4,68,0,5,True,5,0
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,C4_D4,43,0,5,True,5,0
scene_rotate_v01,ROTATE,C4_D4,12,0,5,True,5,0
scene_rotate_v02,ROTATE,C4_D4,38,0,5,True,5,0
scene_rotate_v03,ROTATE,C4_D4,83,0,5,True,5,0
scene_rotate_v04,ROTATE,C4_D4,47,2,3,False,3,0
scene_rotate_v05,ROTATE,C4_D4,44,0,5,True,5,0
scene_translate_v01,TRANSLATE,C4_D4,67,0,5,True,5,0
scene_translate_v02,TRANSLATE,C4_D4,45,2,3,False,3,0
scene_translate_v03,TRANSLATE,C4_D4,18,0,5,True,5,0
scene_translate_v04,TRANSLATE,C4_D4,13,0,5,True,5,0
scene_translate_v05,TRANSLATE,C4_D4,54,0,5,True,5,0
scene_fc_blocked_v01,FC_BLOCKED,C4_D8,64,4,1,False,1,0
scene_fc_blocked_v02,FC_BLOCKED,C4_D8,53,3,2,False,2,0
scene_fc_blocked_v03,FC_BLOCKED,C4_D8,12,4,1,False,1,0
scene_fc_blocked_v04,FC_BLOCKED,C4_D8,89,0,5,True,5,0
scene_fc_blocked_v05,FC_BLOCKED,C4_D8,59,3,2,False,2,0
scene_fc_clear_v01,FC_CLEAR,C4_D8,53,5,0,True,0,0
scene_fc_clear_v02,FC_CLEAR,C4_D8,29,0,5,True,5,0
scene_fc_clear_v03,FC_CLEAR,C4_D8,95,5,0,True,0,0
scene_fc_clear_v04,FC_CLEAR,C4_D8,61,3,2,False,2,0
scene_fc_clear_v05,FC_CLEAR,C4_D8,62,4,1,False,1,0
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,C4_D8,59,0,5,True,5,0
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,C4_D8,70,0,5,True,5,0
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,C4_D8,12,0,5,True,5,0
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,C4_D8,68,0,5,True,5,0
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,C4_D8,43,0,5,True,5,0
scene_rotate_v01,ROTATE,C4_D8,12,0,5,True,5,0
scene_rotate_v02,ROTATE,C4_D8,38,0,5,True,5,0
scene_rotate_v03,ROTATE,C4_D8,83,0,5,True,5,0
scene_rotate_v04,ROTATE,C4_D8,47,0,5,True,5,0
scene_rotate_v05,ROTATE,C4_D8,44,0,5,True,5,0
scene_translate_v01,TRANSLATE,C4_D8,67,0,5,True,5,0
scene_translate_v02,TRANSLATE,C4_D8,45,2,3,False,3,0
scene_translate_v03,TRANSLATE,C4_D8,18,0,5,True,5,0
scene_translate_v04,TRANSLATE,C4_D8,13,0,5,True,5,0
scene_translate_v05,TRANSLATE,C4_D8,54,0,5,True,5,0
scene_fc_blocked_v01,FC_BLOCKED,C5_D4,64,2,3,False,3,0
scene_fc_blocked_v02,FC_BLOCKED,C5_D4,53,1,4,False,4,0
scene_fc_blocked_v03,FC_BLOCKED,C5_D4,12,5,0,True,0,0
scene_fc_blocked_v04,FC_BLOCKED,C5_D4,89,0,5,True,5,0
scene_fc_blocked_v05,FC_BLOCKED,C5_D4,59,0,5,True,5,0
scene_fc_clear_v01,FC_CLEAR,C5_D4,53,5,0,True,0,0
scene_fc_clear_v02,FC_CLEAR,C5_D4,29,3,2,False,2,0
scene_fc_clear_v03,FC_CLEAR,C5_D4,95,4,1,False,1,0
scene_fc_clear_v04,FC_CLEAR,C5_D4,61,5,0,True,0,0
scene_fc_clear_v05,FC_CLEAR,C5_D4,62,1,4,False,4,0
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,C5_D4,59,2,3,False,3,0
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,C5_D4,70,0,5,True,5,0
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,C5_D4,12,0,5,True,5,0
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,C5_D4,68,0,5,True,5,0
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,C5_D4,43,0,5,True,5,0
scene_rotate_v01,ROTATE,C5_D4,12,0,5,True,5,0
scene_rotate_v02,ROTATE,C5_D4,38,4,1,False,1,0
scene_rotate_v03,ROTATE,C5_D4,83,0,5,True,5,0
scene_rotate_v04,ROTATE,C5_D4,47,2,3,False,3,0
scene_rotate_v05,ROTATE,C5_D4,44,0,5,True,5,0
scene_translate_v01,TRANSLATE,C5_D4,67,0,5,True,5,0
scene_translate_v02,TRANSLATE,C5_D4,45,4,1,False,1,0
scene_translate_v03,TRANSLATE,C5_D4,18,0,5,True,5,0
scene_translate_v04,TRANSLATE,C5_D4,13,0,5,True,5,0
scene_translate_v05,TRANSLATE,C5_D4,54,0,5,True,5,0
scene_fc_blocked_v01,FC_BLOCKED,C5_D8,64,5,0,True,0,0
scene_fc_blocked_v02,FC_BLOCKED,C5_D8,53,5,0,True,0,0
scene_fc_blocked_v03,FC_BLOCKED,C5_D8,12,5,0,True,0,0
scene_fc_blocked_v04,FC_BLOCKED,C5_D8,89,2,3,False,3,0
scene_fc_blocked_v05,FC_BLOCKED,C5_D8,59,2,3,False,3,0
scene_fc_clear_v01,FC_CLEAR,C5_D8,53,5,0,True,0,0
scene_fc_clear_v02,FC_CLEAR,C5_D8,29,5,0,True,0,0
scene_fc_clear_v03,FC_CLEAR,C5_D8,95,5,0,True,0,0
scene_fc_clear_v04,FC_CLEAR,C5_D8,61,5,0,True,0,0
scene_fc_clear_v05,FC_CLEAR,C5_D8,62,3,2,False,2,0
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,C5_D8,59,0,5,True,5,0
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,C5_D8,70,0,5,True,5,0
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,C5_D8,12,0,5,True,5,0
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,C5_D8,68,0,5,True,5,0
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,C5_D8,43,0,5,True,5,0
scene_rotate_v01,ROTATE,C5_D8,12,0,5,True,5,0
scene_rotate_v02,ROTATE,C5_D8,38,2,3,False,3,0
scene_rotate_v03,ROTATE,C5_D8,83,0,5,True,5,0
scene_rotate_v04,ROTATE,C5_D8,47,2,3,False,3,0
scene_rotate_v05,ROTATE,C5_D8,44,0,5,True,5,0
scene_translate_v01,TRANSLATE,C5_D8,67,0,5,True,5,0
scene_translate_v02,TRANSLATE,C5_D8,45,1,4,False,4,0
scene_translate_v03,TRANSLATE,C5_D8,18,1,4,False,4,0
scene_translate_v04,TRANSLATE,C5_D8,13,0,5,True,5,0
scene_translate_v05,TRANSLATE,C5_D8,54,1,4,False,4,0
scene_fc_blocked_v01,FC_BLOCKED,C6_D4,64,0,5,True,5,0
scene_fc_blocked_v02,FC_BLOCKED,C6_D4,53,2,3,False,3,0
scene_fc_blocked_v03,FC_BLOCKED,C6_D4,12,5,0,True,0,0
scene_fc_blocked_v04,FC_BLOCKED,C6_D4,89,3,2,False,2,0
scene_fc_blocked_v05,FC_BLOCKED,C6_D4,59,3,2,False,2,0
scene_fc_clear_v01,FC_CLEAR,C6_D4,53,5,0,True,0,0
scene_fc_clear_v02,FC_CLEAR,C6_D4,29,5,0,True,0,0
scene_fc_clear_v03,FC_CLEAR,C6_D4,95,5,0,True,0,0
scene_fc_clear_v04,FC_CLEAR,C6_D4,61,2,3,False,3,0
scene_fc_clear_v05,FC_CLEAR,C6_D4,62,2,3,False,3,0
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,C6_D4,59,0,5,True,5,0
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,C6_D4,70,0,5,True,5,0
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,C6_D4,12,0,5,True,5,0
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,C6_D4,68,0,5,True,5,0
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,C6_D4,43,0,5,True,5,0
scene_rotate_v01,ROTATE,C6_D4,12,0,5,True,5,0
scene_rotate_v02,ROTATE,C6_D4,38,0,5,True,5,0
scene_rotate_v03,ROTATE,C6_D4,83,0,5,True,5,0
scene_rotate_v04,ROTATE,C6_D4,47,0,5,True,5,0
scene_rotate_v05,ROTATE,C6_D4,44,0,5,True,5,0
scene_translate_v01,TRANSLATE,C6_D4,67,0,5,True,5,0
scene_translate_v02,TRANSLATE,C6_D4,45,2,3,False,3,0
scene_translate_v03,TRANSLATE,C6_D4,18,0,5,True,5,0
scene_translate_v04,TRANSLATE,C6_D4,13,0,5,True,5,0
scene_translate_v05,TRANSLATE,C6_D4,54,2,3,False,3,0
scene_fc_blocked_v01,FC_BLOCKED,C6_D8,64,5,0,True,0,0
scene_fc_blocked_v02,FC_BLOCKED,C6_D8,53,2,3,False,3,0
scene_fc_blocked_v03,FC_BLOCKED,C6_D8,12,5,0,True,0,0
scene_fc_blocked_v04,FC_BLOCKED,C6_D8,89,5,0,True,0,0
scene_fc_blocked_v05,FC_BLOCKED,C6_D8,59,4,1,False,1,0
scene_fc_clear_v01,FC_CLEAR,C6_D8,53,5,0,True,0,0
scene_fc_clear_v02,FC_CLEAR,C6_D8,29,5,0,True,0,0
scene_fc_clear_v03,FC_CLEAR,C6_D8,95,5,0,True,0,0
scene_fc_clear_v04,FC_CLEAR,C6_D8,61,5,0,True,0,0
scene_fc_clear_v05,FC_CLEAR,C6_D8,62,2,3,False,3,0
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,C6_D8,59,0,5,True,5,0
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,C6_D8,70,0,5,True,5,0
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,C6_D8,12,0,5,True,5,0
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,C6_D8,68,0,5,True,5,0
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,C6_D8,43,0,5,True,5,0
scene_rotate_v01,ROTATE,C6_D8,12,0,5,True,5,0
scene_rotate_v02,ROTATE,C6_D8,38,0,5,True,5,0
scene_rotate_v03,ROTATE,C6_D8,83,0,5,True,5,0
scene_rotate_v04,ROTATE,C6_D8,47,0,5,True,5,0
scene_rotate_v05,ROTATE,C6_D8,44,0,5,True,5,0
scene_translate_v01,TRANSLATE,C6_D8,67,0,5,True,5,0
scene_translate_v02,TRANSLATE,C6_D8,45,0,5,True,5,0
scene_translate_v03,TRANSLATE,C6_D8,18,2,3,False,3,0
scene_translate_v04,TRANSLATE,C6_D8,13,0,5,True,5,0
scene_translate_v05,TRANSLATE,C6_D8,54,0,5,True,5,0
