run_id,scene_id,scene_family,seed,target_id,gt_blocker_ids,l3_output,gt_action_advisory,gt_parameters_advisory,model_output,primary_class,action_match,object_match_scene_gt,object_match_frozen_l3,direction_match,distance_match,post_validation_pass,post_validation_errors,simulator_executed,collision,boundary_violation,post_visibility,post_gap_cm,post_direct_graspable
v25__scene_fc_blocked_v04__L4__C2_D8__r02_s28102,scene_fc_blocked_v04,FC_BLOCKED,28102,89,[19],"{""blocker_id"": 19, ""blocking_reason"": ""CLEARANCE_OVERLAP""}",TRANSLATE,"{""object"": ""Mug_2"", ""frame"": ""SHELF"", ""direction"": ""LEFT"", ""minimum_distance_cm"": 1.6}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 2, ""distance_level"": ""SHORT"", ""object_id"": 19}",PHYSICAL_FAILURE_AFTER_GT_MATCH,True,True,True,True,True,True,[],True,False,False,FULL,2.6,False
v25__scene_fc_blocked_v04__L4__C2_D8__r03_s28103,scene_fc_blocked_v04,FC_BLOCKED,28103,89,[19],"{""blocker_id"": 19, ""blocking_reason"": ""CLEARANCE_OVERLAP""}",TRANSLATE,"{""object"": ""Mug_2"", ""frame"": ""SHELF"", ""direction"": ""LEFT"", ""minimum_distance_cm"": 1.6}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 2, ""distance_level"": ""SHORT"", ""object_id"": 19}",PHYSICAL_FAILURE_AFTER_GT_MATCH,True,True,True,True,True,True,[],True,False,False,FULL,2.6,False
v25__scene_fc_blocked_v04__L4__C2_D8__r04_s28104,scene_fc_blocked_v04,FC_BLOCKED,28104,89,[19],"{""blocker_id"": 19, ""blocking_reason"": ""CLEARANCE_OVERLAP""}",TRANSLATE,"{""object"": ""Mug_2"", ""frame"": ""SHELF"", ""direction"": ""LEFT"", ""minimum_distance_cm"": 1.6}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 2, ""distance_level"": ""SHORT"", ""object_id"": 19}",PHYSICAL_FAILURE_AFTER_GT_MATCH,True,True,True,True,True,True,[],True,False,False,FULL,2.6,False
v25__scene_fc_blocked_v04__L4__C2_D8__r05_s28105,scene_fc_blocked_v04,FC_BLOCKED,28105,89,[19],"{""blocker_id"": 19, ""blocking_reason"": ""CLEARANCE_OVERLAP""}",TRANSLATE,"{""object"": ""Mug_2"", ""frame"": ""SHELF"", ""direction"": ""LEFT"", ""minimum_distance_cm"": 1.6}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 2, ""distance_level"": ""SHORT"", ""object_id"": 19}",PHYSICAL_FAILURE_AFTER_GT_MATCH,True,True,True,True,True,True,[],True,False,False,FULL,2.6,False
v25__scene_fc_blocked_v05__L4__C2_D8__r01_s28101,scene_fc_blocked_v05,FC_BLOCKED,28101,59,[26],"{""blocker_id"": 26, ""blocking_reason"": ""BOTH""}",TRANSLATE,"{""object"": ""mug_7"", ""frame"": ""SHELF"", ""direction"": ""RIGHT"", ""minimum_distance_cm"": 1.8}","{""action"": ""TRANSLATE"", ""direction"": ""RIGHT"", ""distance_cm"": 2, ""distance_level"": ""SHORT"", ""object_id"": 26}",PHYSICAL_FAILURE_AFTER_GT_MATCH,True,True,True,True,True,True,[],True,True,False,PARTIAL,0.0,False
v25__scene_fc_blocked_v05__L4__C2_D8__r02_s28102,scene_fc_blocked_v05,FC_BLOCKED,28102,59,[26],"{""blocker_id"": 26, ""blocking_reason"": ""BOTH""}",TRANSLATE,"{""object"": ""mug_7"", ""frame"": ""SHELF"", ""direction"": ""RIGHT"", ""minimum_distance_cm"": 1.8}","{""action"": ""TRANSLATE"", ""direction"": ""RIGHT"", ""distance_cm"": 1, ""distance_level"": ""SHORT"", ""object_id"": 26}",DISTANCE_WRONG,True,True,True,True,False,True,[],True,True,False,PARTIAL,0.0,False
v25__scene_fc_blocked_v05__L4__C2_D8__r03_s28103,scene_fc_blocked_v05,FC_BLOCKED,28103,59,[26],"{""blocker_id"": 26, ""blocking_reason"": ""BOTH""}",TRANSLATE,"{""object"": ""mug_7"", ""frame"": ""SHELF"", ""direction"": ""RIGHT"", ""minimum_distance_cm"": 1.8}","{""action"": ""TRANSLATE"", ""direction"": ""RIGHT"", ""distance_cm"": 1, ""distance_level"": ""SHORT"", ""object_id"": 26}",DISTANCE_WRONG,True,True,True,True,False,True,[],True,True,False,PARTIAL,0.0,False
v25__scene_fc_blocked_v05__L4__C2_D8__r04_s28104,scene_fc_blocked_v05,FC_BLOCKED,28104,59,[26],"{""blocker_id"": 26, ""blocking_reason"": ""BOTH""}",TRANSLATE,"{""object"": ""mug_7"", ""frame"": ""SHELF"", ""direction"": ""RIGHT"", ""minimum_distance_cm"": 1.8}","{""action"": ""TRANSLATE"", ""direction"": ""RIGHT"", ""distance_cm"": 2, ""distance_level"": ""SHORT"", ""object_id"": 26}",PHYSICAL_FAILURE_AFTER_GT_MATCH,True,True,True,True,True,True,[],True,True,False,PARTIAL,0.0,False
v25__scene_fc_blocked_v05__L4__C2_D8__r05_s28105,scene_fc_blocked_v05,FC_BLOCKED,28105,59,[26],"{""blocker_id"": 26, ""blocking_reason"": ""CLEARANCE_OVERLAP""}",TRANSLATE,"{""object"": ""mug_7"", ""frame"": ""SHELF"", ""direction"": ""RIGHT"", ""minimum_distance_cm"": 1.8}","{""action"": ""TRANSLATE"", ""direction"": ""RIGHT"", ""distance_cm"": 2, ""distance_level"": ""SHORT"", ""object_id"": 26}",PHYSICAL_FAILURE_AFTER_GT_MATCH,True,True,True,True,True,True,[],True,True,False,PARTIAL,0.0,False
v25__scene_translate_v01__L4__C2_D8__r02_s28102,scene_translate_v01,TRANSLATE,28102,67,[35],"{""blocker_id"": 35, ""blocking_reason"": ""CLEARANCE_OVERLAP""}",TRANSLATE,"{""object"": ""blocker_cracker_box"", ""frame"": ""SHELF"", ""direction"": ""LEFT"", ""distance_cm"": 15.0}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 3, ""distance_level"": ""SHORT"", ""object_id"": 35}",DISTANCE_WRONG,True,True,True,True,False,True,[],True,False,False,PARTIAL,4.492836,False
v25__scene_translate_v01__L4__C2_D8__r03_s28103,scene_translate_v01,TRANSLATE,28103,67,[35],"{""blocker_id"": 35, ""blocking_reason"": ""CLEARANCE_OVERLAP""}",TRANSLATE,"{""object"": ""blocker_cracker_box"", ""frame"": ""SHELF"", ""direction"": ""LEFT"", ""distance_cm"": 15.0}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 3, ""distance_level"": ""SHORT"", ""object_id"": 35}",DISTANCE_WRONG,True,True,True,True,False,True,[],True,False,False,PARTIAL,4.492836,False
v25__scene_translate_v01__L4__C2_D8__r04_s28104,scene_translate_v01,TRANSLATE,28104,67,[35],"{""blocker_id"": 35, ""blocking_reason"": ""CLEARANCE_OVERLAP""}",TRANSLATE,"{""object"": ""blocker_cracker_box"", ""frame"": ""SHELF"", ""direction"": ""LEFT"", ""distance_cm"": 15.0}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 3, ""distance_level"": ""SHORT"", ""object_id"": 35}",DISTANCE_WRONG,True,True,True,True,False,True,[],True,False,False,PARTIAL,4.492836,False
v25__scene_translate_v01__L4__C2_D8__r05_s28105,scene_translate_v01,TRANSLATE,28105,67,[35],"{""blocker_id"": 35, ""blocking_reason"": ""CLEARANCE_OVERLAP""}",TRANSLATE,"{""object"": ""blocker_cracker_box"", ""frame"": ""SHELF"", ""direction"": ""LEFT"", ""distance_cm"": 15.0}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 3, ""distance_level"": ""SHORT"", ""object_id"": 35}",DISTANCE_WRONG,True,True,True,True,False,True,[],True,False,False,PARTIAL,4.492836,False
v25__scene_translate_v02__L4__C2_D8__r01_s28101,scene_translate_v02,TRANSLATE,28101,45,[95],"{""blocker_id"": 95, ""blocking_reason"": ""BOTH""}",TRANSLATE,"{""object"": ""blocker_cracker_box"", ""frame"": ""SHELF"", ""direction"": ""RIGHT"", ""distance_cm"": 14.0}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 5, ""distance_level"": ""SHORT"", ""object_id"": 95}",DIRECTION_WRONG,True,True,True,False,False,True,[],True,False,False,NOT_VISIBLE,3.259628,False
v25__scene_translate_v02__L4__C2_D8__r02_s28102,scene_translate_v02,TRANSLATE,28102,45,[95],"{""blocker_id"": 95, ""blocking_reason"": ""BOTH""}",TRANSLATE,"{""object"": ""blocker_cracker_box"", ""frame"": ""SHELF"", ""direction"": ""RIGHT"", ""distance_cm"": 14.0}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 3, ""distance_level"": ""SHORT"", ""object_id"": 95}",DIRECTION_WRONG,True,True,True,False,False,True,[],True,False,False,PARTIAL,3.320954,False
v25__scene_translate_v02__L4__C2_D8__r03_s28103,scene_translate_v02,TRANSLATE,28103,45,[95],"{""blocker_id"": 95, ""blocking_reason"": ""BOTH""}",TRANSLATE,"{""object"": ""blocker_cracker_box"", ""frame"": ""SHELF"", ""direction"": ""RIGHT"", ""distance_cm"": 14.0}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 3, ""distance_level"": ""SHORT"", ""object_id"": 95}",DIRECTION_WRONG,True,True,True,False,False,True,[],True,False,False,PARTIAL,3.320954,False
v25__scene_translate_v02__L4__C2_D8__r04_s28104,scene_translate_v02,TRANSLATE,28104,45,[95],"{""blocker_id"": 95, ""blocking_reason"": ""BOTH""}",TRANSLATE,"{""object"": ""blocker_cracker_box"", ""frame"": ""SHELF"", ""direction"": ""RIGHT"", ""distance_cm"": 14.0}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 5, ""distance_level"": ""SHORT"", ""object_id"": 95}",DIRECTION_WRONG,True,True,True,False,False,True,[],True,False,False,NOT_VISIBLE,3.259628,False
v25__scene_translate_v02__L4__C2_D8__r05_s28105,scene_translate_v02,TRANSLATE,28105,45,[95],"{""blocker_id"": 95, ""blocking_reason"": ""BOTH""}",TRANSLATE,"{""object"": ""blocker_cracker_box"", ""frame"": ""SHELF"", ""direction"": ""RIGHT"", ""distance_cm"": 14.0}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 5, ""distance_level"": ""SHORT"", ""object_id"": 95}",DIRECTION_WRONG,True,True,True,False,False,True,[],True,False,False,NOT_VISIBLE,3.259628,False
v25__scene_translate_v04__L4__C2_D8__r01_s28101,scene_translate_v04,TRANSLATE,28101,13,[84],"{""blocker_id"": 84, ""blocking_reason"": ""BOTH""}",TRANSLATE,"{""object"": ""blocker_cracker_box"", ""frame"": ""SHELF"", ""direction"": ""RIGHT"", ""distance_cm"": 10.0}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 5, ""distance_level"": ""SHORT"", ""object_id"": 84}",DIRECTION_WRONG,True,True,True,False,False,True,[],True,False,False,NOT_VISIBLE,6.210547,False
v25__scene_translate_v04__L4__C2_D8__r02_s28102,scene_translate_v04,TRANSLATE,28102,13,[84],"{""blocker_id"": 84, ""blocking_reason"": ""BOTH""}",TRANSLATE,"{""object"": ""blocker_cracker_box"", ""frame"": ""SHELF"", ""direction"": ""RIGHT"", ""distance_cm"": 10.0}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 10, ""distance_level"": ""SHORT"", ""object_id"": 84}",PRECHECK_ERROR,True,True,True,False,True,False,"[""distance_level is inconsistent with distance_cm""]",False,,,,,
v25__scene_translate_v04__L4__C2_D8__r03_s28103,scene_translate_v04,TRANSLATE,28103,13,[84],"{""blocker_id"": 84, ""blocking_reason"": ""BOTH""}",TRANSLATE,"{""object"": ""blocker_cracker_box"", ""frame"": ""SHELF"", ""direction"": ""RIGHT"", ""distance_cm"": 10.0}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 1, ""distance_level"": ""SHORT"", ""object_id"": 84}",DIRECTION_WRONG,True,True,True,False,False,True,[],True,False,False,PARTIAL,6.279626,False
v25__scene_translate_v04__L4__C2_D8__r04_s28104,scene_translate_v04,TRANSLATE,28104,13,[84],"{""blocker_id"": 84, ""blocking_reason"": ""BOTH""}",TRANSLATE,"{""object"": ""blocker_cracker_box"", ""frame"": ""SHELF"", ""direction"": ""RIGHT"", ""distance_cm"": 10.0}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 1, ""distance_level"": ""SHORT"", ""object_id"": 84}",DIRECTION_WRONG,True,True,True,False,False,True,[],True,False,False,PARTIAL,6.279626,False
v25__scene_translate_v04__L4__C2_D8__r05_s28105,scene_translate_v04,TRANSLATE,28105,13,[84],"{""blocker_id"": 84, ""blocking_reason"": ""BOTH""}",TRANSLATE,"{""object"": ""blocker_cracker_box"", ""frame"": ""SHELF"", ""direction"": ""RIGHT"", ""distance_cm"": 10.0}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 5, ""distance_level"": ""SHORT"", ""object_id"": 84}",DIRECTION_WRONG,True,True,True,False,False,True,[],True,False,False,NOT_VISIBLE,6.210547,False
v25__scene_rotate_v01__L4__C2_D8__r01_s28101,scene_rotate_v01,ROTATE,28101,12,[95],"{""blocker_id"": 95, ""blocking_reason"": ""CLEARANCE_OVERLAP""}",ROTATE,"{""object"": ""blocker_cracker_box"", ""axis"": ""SHELF_UP"", ""initial_yaw_deg"": -20.0, ""yaw_delta_deg"": -70.0}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 5, ""distance_level"": ""SHORT"", ""object_id"": 95}",ACTION_WRONG,False,True,True,,,True,[],True,False,False,NOT_VISIBLE,7.003563,False
v25__scene_rotate_v01__L4__C2_D8__r02_s28102,scene_rotate_v01,ROTATE,28102,12,[95],"{""blocker_id"": 54, ""blocking_reason"": ""CLEARANCE_OVERLAP""}",ROTATE,"{""object"": ""blocker_cracker_box"", ""axis"": ""SHELF_UP"", ""initial_yaw_deg"": -20.0, ""yaw_delta_deg"": -70.0}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 3, ""distance_level"": ""SHORT"", ""object_id"": 54}",ACTION_WRONG,False,False,True,,,True,[],True,False,False,PARTIAL,7.003563,False
v25__scene_rotate_v01__L4__C2_D8__r03_s28103,scene_rotate_v01,ROTATE,28103,12,[95],"{""blocker_id"": 54, ""blocking_reason"": ""CLEARANCE_OVERLAP""}",ROTATE,"{""object"": ""blocker_cracker_box"", ""axis"": ""SHELF_UP"", ""initial_yaw_deg"": -20.0, ""yaw_delta_deg"": -70.0}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 3, ""distance_level"": ""SHORT"", ""object_id"": 54}",ACTION_WRONG,False,False,True,,,True,[],True,False,False,PARTIAL,7.003563,False
v25__scene_rotate_v01__L4__C2_D8__r04_s28104,scene_rotate_v01,ROTATE,28104,12,[95],"{""blocker_id"": 54, ""blocking_reason"": ""CLEARANCE_OVERLAP""}",ROTATE,"{""object"": ""blocker_cracker_box"", ""axis"": ""SHELF_UP"", ""initial_yaw_deg"": -20.0, ""yaw_delta_deg"": -70.0}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 3, ""distance_level"": ""SHORT"", ""object_id"": 54}",ACTION_WRONG,False,False,True,,,True,[],True,False,False,PARTIAL,7.003563,False
v25__scene_rotate_v01__L4__C2_D8__r05_s28105,scene_rotate_v01,ROTATE,28105,12,[95],"{""blocker_id"": 54, ""blocking_reason"": ""CLEARANCE_OVERLAP""}",ROTATE,"{""object"": ""blocker_cracker_box"", ""axis"": ""SHELF_UP"", ""initial_yaw_deg"": -20.0, ""yaw_delta_deg"": -70.0}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 5, ""distance_level"": ""SHORT"", ""object_id"": 54}",ACTION_WRONG,False,False,True,,,True,[],True,False,False,PARTIAL,7.003563,False
v25__scene_rotate_v02__L4__C2_D8__r01_s28101,scene_rotate_v02,ROTATE,28101,38,[50],"{""blocker_id"": 50, ""blocking_reason"": ""BOTH""}",ROTATE,"{""object"": ""blocker_cracker_box"", ""axis"": ""SHELF_UP"", ""initial_yaw_deg"": 20.0, ""yaw_delta_deg"": 70.0}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 5, ""distance_level"": ""SHORT"", ""object_id"": 50}",ACTION_WRONG,False,True,True,,,True,[],True,False,True,PARTIAL,8.032079,False
v25__scene_rotate_v02__L4__C2_D8__r02_s28102,scene_rotate_v02,ROTATE,28102,38,[50],"{""blocker_id"": 50, ""blocking_reason"": ""BOTH""}",ROTATE,"{""object"": ""blocker_cracker_box"", ""axis"": ""SHELF_UP"", ""initial_yaw_deg"": 20.0, ""yaw_delta_deg"": 70.0}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 10, ""distance_level"": ""SHORT"", ""object_id"": 50}",PRECHECK_ERROR,False,True,True,,,False,"[""distance_level is inconsistent with distance_cm""]",False,,,,,
v25__scene_rotate_v02__L4__C2_D8__r03_s28103,scene_rotate_v02,ROTATE,28103,38,[50],"{""blocker_id"": 50, ""blocking_reason"": ""CLEARANCE_OVERLAP""}",ROTATE,"{""object"": ""blocker_cracker_box"", ""axis"": ""SHELF_UP"", ""initial_yaw_deg"": 20.0, ""yaw_delta_deg"": 70.0}","{""action"": ""TRANSLATE"", ""direction"": ""FRONT_RIGHT"", ""distance_cm"": 5, ""distance_level"": ""SHORT"", ""object_id"": 50}",ACTION_WRONG,False,True,True,,,True,[],True,False,True,PARTIAL,8.614334,False
v25__scene_rotate_v02__L4__C2_D8__r04_s28104,scene_rotate_v02,ROTATE,28104,38,[50],"{""blocker_id"": 50, ""blocking_reason"": ""CLEARANCE_OVERLAP""}",ROTATE,"{""object"": ""blocker_cracker_box"", ""axis"": ""SHELF_UP"", ""initial_yaw_deg"": 20.0, ""yaw_delta_deg"": 70.0}","{""action"": ""TRANSLATE"", ""direction"": ""RIGHT"", ""distance_cm"": 10, ""distance_level"": ""MEDIUM"", ""object_id"": 50}",ACTION_WRONG,False,True,True,,,True,[],True,True,False,NOT_VISIBLE,8.614334,False
v25__scene_rotate_v02__L4__C2_D8__r05_s28105,scene_rotate_v02,ROTATE,28105,38,[50],"{""blocker_id"": 50, ""blocking_reason"": ""OCCLUSION""}",ROTATE,"{""object"": ""blocker_cracker_box"", ""axis"": ""SHELF_UP"", ""initial_yaw_deg"": 20.0, ""yaw_delta_deg"": 70.0}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 5, ""distance_level"": ""SHORT"", ""object_id"": 50}",ACTION_WRONG,False,True,True,,,True,[],True,False,True,PARTIAL,8.032079,False
v25__scene_rotate_v03__L4__C2_D8__r01_s28101,scene_rotate_v03,ROTATE,28101,83,[19],"{""blocker_id"": 19, ""blocking_reason"": ""BOTH""}",ROTATE,"{""object"": ""blocker_cracker_box"", ""axis"": ""SHELF_UP"", ""initial_yaw_deg"": 15.0, ""yaw_delta_deg"": 75.0}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 5, ""distance_level"": ""SHORT"", ""object_id"": 19}",ACTION_WRONG,False,True,True,,,True,[],True,False,False,NOT_VISIBLE,6.232961,False
v25__scene_rotate_v03__L4__C2_D8__r02_s28102,scene_rotate_v03,ROTATE,28102,83,[19],"{""blocker_id"": 19, ""blocking_reason"": ""BOTH""}",ROTATE,"{""object"": ""blocker_cracker_box"", ""axis"": ""SHELF_UP"", ""initial_yaw_deg"": 15.0, ""yaw_delta_deg"": 75.0}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 5, ""distance_level"": ""SHORT"", ""object_id"": 19}",ACTION_WRONG,False,True,True,,,True,[],True,False,False,NOT_VISIBLE,6.232961,False
