level,scene_id,query_id,user_request,successes_out_of_5,ground_truth,unique_predictions,error_types
L3,b0_l3_random_5objects_05,Q3_HARD_NEGATIVE_ABSENT,Bring me the dark purple can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_5objects_06,Q1_CATEGORY_PRESENT,Bring me a can.,5,[95],[[95]],"{""correct"": 5}"
L3,b0_l3_random_5objects_06,Q2_CATEGORY_COLOR_PRESENT,Bring me the beige can.,0,[95],[[]],"{""gt_target_set_disagreement_with_semantic_inventory_exact"": 5}"
L3,b0_l3_random_5objects_06,Q3_HARD_NEGATIVE_ABSENT,Bring me the white can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_5objects_07,Q1_CATEGORY_PRESENT,Bring me a can.,5,[99],[[99]],"{""correct"": 5}"
L3,b0_l3_random_5objects_07,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue can.,5,[99],[[99]],"{""correct"": 5}"
L3,b0_l3_random_5objects_07,Q3_HARD_NEGATIVE_ABSENT,Bring me the black can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_5objects_08,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[46, 80]","[[46, 80]]","{""correct"": 5}"
L3,b0_l3_random_5objects_08,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue can.,5,"[46, 80]","[[46, 80]]","{""correct"": 5}"
L3,b0_l3_random_5objects_08,Q3_HARD_NEGATIVE_ABSENT,Bring me the dark purple can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_5objects_09,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[25, 77]","[[25, 77]]","{""correct"": 5}"
L3,b0_l3_random_5objects_09,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue can.,5,"[25, 77]","[[25, 77]]","{""correct"": 5}"
L3,b0_l3_random_5objects_09,Q3_HARD_NEGATIVE_ABSENT,Bring me the yellow can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_5objects_10,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[89, 96]","[[89, 96]]","{""correct"": 5}"
L3,b0_l3_random_5objects_10,Q2_CATEGORY_COLOR_PRESENT,Bring me the beige can.,0,"[89, 96]","[[], [89]]","{""gt_target_set_disagreement_with_semantic_inventory_exact"": 5}"
L3,b0_l3_random_5objects_10,Q3_HARD_NEGATIVE_ABSENT,Bring me the pink can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_7objects_01,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[43, 88]","[[43, 88]]","{""correct"": 5}"
L3,b0_l3_random_7objects_01,Q2_CATEGORY_COLOR_PRESENT,Bring me the dark blue bottle.,5,"[43, 88]","[[43, 88]]","{""correct"": 5}"
L3,b0_l3_random_7objects_01,Q3_HARD_NEGATIVE_ABSENT,Bring me the beige bottle.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_7objects_02,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[70, 92]","[[70, 92]]","{""correct"": 5}"
L3,b0_l3_random_7objects_02,Q2_CATEGORY_COLOR_PRESENT,Bring me the beige can.,0,"[70, 92]",[[92]],"{""gt_target_set_disagreement_with_semantic_inventory_exact"": 5}"
L3,b0_l3_random_7objects_02,Q3_HARD_NEGATIVE_ABSENT,Bring me the yellow can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_7objects_03,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[12, 69]","[[12, 69]]","{""correct"": 5}"
L3,b0_l3_random_7objects_03,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue can.,5,"[12, 69]","[[12, 69]]","{""correct"": 5}"
L3,b0_l3_random_7objects_03,Q3_HARD_NEGATIVE_ABSENT,Bring me the dark green can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_7objects_04,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[12, 68]","[[12, 68]]","{""correct"": 5}"
L3,b0_l3_random_7objects_04,Q2_CATEGORY_COLOR_PRESENT,Bring me the pink bottle.,5,"[12, 68]","[[12, 68]]","{""correct"": 5}"
L3,b0_l3_random_7objects_04,Q3_HARD_NEGATIVE_ABSENT,Bring me the yellow bottle.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_7objects_05,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[54, 61]","[[54, 61]]","{""correct"": 5}"
L3,b0_l3_random_7objects_05,Q2_CATEGORY_COLOR_PRESENT,Bring me the dark green bottle.,5,"[54, 61]","[[54, 61]]","{""correct"": 5}"
L3,b0_l3_random_7objects_05,Q3_HARD_NEGATIVE_ABSENT,Bring me the beige bottle.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_7objects_06,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[25, 59, 63]","[[25, 59, 63]]","{""correct"": 5}"
L3,b0_l3_random_7objects_06,Q2_CATEGORY_COLOR_PRESENT,Bring me the beige can.,0,"[25, 59, 63]",[[]],"{""gt_target_set_disagreement_with_semantic_inventory_exact"": 5}"
L3,b0_l3_random_7objects_06,Q3_HARD_NEGATIVE_ABSENT,Bring me the white can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_7objects_07,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[17, 80]","[[17, 80]]","{""correct"": 5}"
L3,b0_l3_random_7objects_07,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue can.,5,"[17, 80]","[[17, 80]]","{""correct"": 5}"
L3,b0_l3_random_7objects_07,Q3_HARD_NEGATIVE_ABSENT,Bring me the purple can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_7objects_08,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[46, 53, 98]","[[46, 53, 98]]","{""correct"": 5}"
L3,b0_l3_random_7objects_08,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow can.,5,"[46, 53, 98]","[[46, 53, 98]]","{""correct"": 5}"
L3,b0_l3_random_7objects_08,Q3_HARD_NEGATIVE_ABSENT,Bring me the dark blue can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_7objects_09,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[23, 53]","[[23, 53]]","{""correct"": 5}"
L3,b0_l3_random_7objects_09,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue can.,5,"[23, 53]","[[23, 53]]","{""correct"": 5}"
L3,b0_l3_random_7objects_09,Q3_HARD_NEGATIVE_ABSENT,Bring me the black can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_7objects_10,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[25, 55]","[[25, 55]]","{""correct"": 5}"
L3,b0_l3_random_7objects_10,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow can.,5,"[25, 55]","[[25, 55]]","{""correct"": 5}"
L3,b0_l3_random_7objects_10,Q3_HARD_NEGATIVE_ABSENT,Bring me the dark blue can.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_30_45_01,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[64, 93]","[[64, 93]]","{""correct"": 5}"
L4,b0_l4_random_30_45_01,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow bottle.,5,[93],[[93]],"{""correct"": 5}"
L4,b0_l4_random_30_45_01,Q3_HARD_NEGATIVE_ABSENT,Bring me the blue bottle.,0,[],[[14]],"{""object_type_comparison_failure"": 5}"
L4,b0_l4_random_30_45_02,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[65, 76, 95]","[[65, 76, 95]]","{""correct"": 5}"
L4,b0_l4_random_30_45_02,Q2_CATEGORY_COLOR_PRESENT,Bring me the dark purple bottle.,5,[76],[[76]],"{""correct"": 5}"
L4,b0_l4_random_30_45_02,Q3_HARD_NEGATIVE_ABSENT,Bring me the white bottle.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_30_45_03,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[18, 24]","[[18, 24]]","{""correct"": 5}"
L4,b0_l4_random_30_45_03,Q2_CATEGORY_COLOR_PRESENT,Bring me the dark blue bottle.,5,[24],[[24]],"{""correct"": 5}"
L4,b0_l4_random_30_45_03,Q3_HARD_NEGATIVE_ABSENT,Bring me the beige bottle.,2,[],"[[], [18]]","{""target_failure_with_semantic_error"": 3, ""correct"": 2}"
L4,b0_l4_random_30_45_04,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,[85],[[85]],"{""correct"": 5}"
L4,b0_l4_random_30_45_04,Q2_CATEGORY_COLOR_PRESENT,Bring me the dark purple bottle.,5,[85],[[85]],"{""correct"": 5}"
L4,b0_l4_random_30_45_04,Q3_HARD_NEGATIVE_ABSENT,Bring me the beige bottle.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_30_45_05,Q1_CATEGORY_PRESENT,Bring me a can.,5,[66],[[66]],"{""correct"": 5}"
L4,b0_l4_random_30_45_05,Q2_CATEGORY_COLOR_PRESENT,Bring me the beige can.,0,[66],[[]],"{""gt_target_set_disagreement_with_semantic_inventory_exact"": 5}"
L4,b0_l4_random_30_45_05,Q3_HARD_NEGATIVE_ABSENT,Bring me the dark green can.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_30_45_06,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[11, 23, 71, 98]","[[11, 23, 71, 98]]","{""correct"": 5}"
L4,b0_l4_random_30_45_06,Q2_CATEGORY_COLOR_PRESENT,Bring me the dark green bottle.,5,[23],[[23]],"{""correct"": 5}"
L4,b0_l4_random_30_45_06,Q3_HARD_NEGATIVE_ABSENT,Bring me the purple bottle.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_30_45_07,Q1_CATEGORY_PRESENT,Bring me a can.,5,[96],[[96]],"{""correct"": 5}"
L4,b0_l4_random_30_45_07,Q2_CATEGORY_COLOR_PRESENT,Bring me the beige can.,0,[96],[[]],"{""gt_target_set_disagreement_with_semantic_inventory_exact"": 5}"
L4,b0_l4_random_30_45_07,Q3_HARD_NEGATIVE_ABSENT,Bring me the pink can.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_30_45_08,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[13, 27, 70]","[[13, 27, 70]]","{""correct"": 5}"
L4,b0_l4_random_30_45_08,Q2_CATEGORY_COLOR_PRESENT,Bring me the pink bottle.,5,[70],[[70]],"{""correct"": 5}"
L4,b0_l4_random_30_45_08,Q3_HARD_NEGATIVE_ABSENT,Bring me the yellow bottle.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_30_45_09,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[29, 31]","[[29, 31]]","{""correct"": 5}"
L4,b0_l4_random_30_45_09,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow bottle.,5,[31],[[31]],"{""correct"": 5}"
L4,b0_l4_random_30_45_09,Q3_HARD_NEGATIVE_ABSENT,Bring me the blue bottle.,0,[],[[29]],"{""gt_target_set_disagreement_with_semantic_inventory_exact"": 5}"
L4,b0_l4_random_30_45_10,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[26, 58, 61]","[[26, 58, 61]]","{""correct"": 5}"
L4,b0_l4_random_30_45_10,Q2_CATEGORY_COLOR_PRESENT,Bring me the dark purple bottle.,5,[58],[[58]],"{""correct"": 5}"
L4,b0_l4_random_30_45_10,Q3_HARD_NEGATIVE_ABSENT,Bring me the white bottle.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_45_60_01,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[22, 45, 56]","[[22, 45, 56]]","{""correct"": 5}"
L4,b0_l4_random_45_60_01,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow bottle.,5,[22],[[22]],"{""correct"": 5}"
L4,b0_l4_random_45_60_01,Q3_HARD_NEGATIVE_ABSENT,Bring me the purple bottle.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_45_60_02,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[21, 54, 73, 90]","[[21, 54, 73, 90]]","{""correct"": 5}"
L4,b0_l4_random_45_60_02,Q2_CATEGORY_COLOR_PRESENT,Bring me the pink bottle.,5,[54],[[54]],"{""correct"": 5}"
L4,b0_l4_random_45_60_02,Q3_HARD_NEGATIVE_ABSENT,Bring me the orange bottle.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_45_60_03,Q1_CATEGORY_PRESENT,Bring me a can.,5,[69],[[69]],"{""correct"": 5}"
L4,b0_l4_random_45_60_03,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue can.,5,[69],[[69]],"{""correct"": 5}"
L4,b0_l4_random_45_60_03,Q3_HARD_NEGATIVE_ABSENT,Bring me the pink can.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_45_60_04,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[65, 83]","[[65, 83]]","{""correct"": 5}"
L4,b0_l4_random_45_60_04,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue can.,5,[83],[[83]],"{""correct"": 5}"
L4,b0_l4_random_45_60_04,Q3_HARD_NEGATIVE_ABSENT,Bring me the black can.,0,[],[[65]],"{""target_failure_with_semantic_error"": 5}"
L4,b0_l4_random_45_60_05,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[26, 66, 95]","[[26, 66, 95]]","{""correct"": 5}"
L4,b0_l4_random_45_60_05,Q2_CATEGORY_COLOR_PRESENT,Bring me the dark purple bottle.,0,[66],[[26]],"{""gt_target_set_disagreement_with_semantic_inventory_exact"": 5}"
L4,b0_l4_random_45_60_05,Q3_HARD_NEGATIVE_ABSENT,Bring me the beige bottle.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_45_60_06,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[11, 72, 89]","[[11, 72, 89]]","{""correct"": 5}"
L4,b0_l4_random_45_60_06,Q2_CATEGORY_COLOR_PRESENT,Bring me the dark green bottle.,5,[72],[[72]],"{""correct"": 5}"
L4,b0_l4_random_45_60_06,Q3_HARD_NEGATIVE_ABSENT,Bring me the black bottle.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_45_60_07,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[10, 20, 40, 55]","[[10, 20, 40, 55]]","{""correct"": 5}"
L4,b0_l4_random_45_60_07,Q2_CATEGORY_COLOR_PRESENT,Bring me the dark blue bottle.,0,[20],"[[10, 20], [10, 20, 55]]","{""gt_target_set_disagreement_with_semantic_inventory_exact"": 5}"
L4,b0_l4_random_45_60_07,Q3_HARD_NEGATIVE_ABSENT,Bring me the yellow bottle.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_45_60_08,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[24, 72]","[[24, 72]]","{""correct"": 5}"
L4,b0_l4_random_45_60_08,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue can.,5,[72],[[72]],"{""correct"": 5}"
L4,b0_l4_random_45_60_08,Q3_HARD_NEGATIVE_ABSENT,Bring me the pink can.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_45_60_09,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[12, 92]","[[12, 92]]","{""correct"": 5}"
L4,b0_l4_random_45_60_09,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow can.,5,[92],[[92]],"{""correct"": 5}"
L4,b0_l4_random_45_60_09,Q3_HARD_NEGATIVE_ABSENT,Bring me the dark green can.,4,[],"[[], [92]]","{""target_failure_with_semantic_error"": 1, ""correct"": 4}"
L4,b0_l4_random_45_60_10,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[12, 54, 57]","[[12, 54, 57]]","{""correct"": 5}"
L4,b0_l4_random_45_60_10,Q2_CATEGORY_COLOR_PRESENT,Bring me the dark blue bottle.,0,[54],"[[12, 54]]","{""gt_target_set_disagreement_with_semantic_inventory_exact"": 5}"
L4,b0_l4_random_45_60_10,Q3_HARD_NEGATIVE_ABSENT,Bring me the beige bottle.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_30_45_01,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[37, 62, 79]","[[37, 62, 79]]","{""correct"": 5}"
L5,b0_l5_random_30_45_01,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow can.,5,[37],[[37]],"{""correct"": 5}"
L5,b0_l5_random_30_45_01,Q3_HARD_NEGATIVE_ABSENT,Bring me the pink can.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_30_45_02,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[61, 83]","[[61, 83]]","{""correct"": 5}"
L5,b0_l5_random_30_45_02,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow bottle.,0,[61],[[]],"{""gt_target_set_disagreement_with_semantic_inventory_exact"": 5}"
L5,b0_l5_random_30_45_02,Q3_HARD_NEGATIVE_ABSENT,Bring me the white bottle.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_30_45_03,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[43, 51]","[[43, 51]]","{""correct"": 5}"
L5,b0_l5_random_30_45_03,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow bottle.,5,[43],[[43]],"{""correct"": 5}"
L5,b0_l5_random_30_45_03,Q3_HARD_NEGATIVE_ABSENT,Bring me the blue bottle.,0,[],[[51]],"{""gt_target_set_disagreement_with_semantic_inventory_exact"": 5}"
L5,b0_l5_random_30_45_04,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[28, 46, 92]","[[28, 46, 92]]","{""correct"": 5}"
L5,b0_l5_random_30_45_04,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow can.,5,[92],[[92]],"{""correct"": 5}"
L5,b0_l5_random_30_45_04,Q3_HARD_NEGATIVE_ABSENT,Bring me the dark green can.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_30_45_05,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[14, 16, 63, 83]","[[14, 16, 63, 83]]","{""correct"": 5}"
L5,b0_l5_random_30_45_05,Q2_CATEGORY_COLOR_PRESENT,Bring me the pink bottle.,5,[83],[[83]],"{""correct"": 5}"
L5,b0_l5_random_30_45_05,Q3_HARD_NEGATIVE_ABSENT,Bring me the purple bottle.,0,[],[[83]],"{""truth_table_violation"": 4, ""gt_target_set_disagreement_with_semantic_inventory_exact"": 1}"
L5,b0_l5_random_30_45_06,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[25, 32, 36]","[[25, 32, 36]]","{""correct"": 5}"
L5,b0_l5_random_30_45_06,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow can.,0,[32],[[]],"{""gt_target_set_disagreement_with_semantic_inventory_exact"": 5}"
L5,b0_l5_random_30_45_06,Q3_HARD_NEGATIVE_ABSENT,Bring me the pink can.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_30_45_07,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[17, 90]","[[17, 90]]","{""correct"": 5}"
L5,b0_l5_random_30_45_07,Q2_CATEGORY_COLOR_PRESENT,Bring me the dark green bottle.,5,[90],[[90]],"{""correct"": 5}"
L5,b0_l5_random_30_45_07,Q3_HARD_NEGATIVE_ABSENT,Bring me the yellow bottle.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_30_45_08,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[28, 63]","[[28, 63]]","{""correct"": 5}"
L5,b0_l5_random_30_45_08,Q2_CATEGORY_COLOR_PRESENT,Bring me the dark purple bottle.,5,[63],[[63]],"{""correct"": 5}"
L5,b0_l5_random_30_45_08,Q3_HARD_NEGATIVE_ABSENT,Bring me the black bottle.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_30_45_09,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[25, 30]","[[25, 30]]","{""correct"": 5}"
L5,b0_l5_random_30_45_09,Q2_CATEGORY_COLOR_PRESENT,Bring me the dark purple bottle.,5,[25],[[25]],"{""correct"": 5}"
L5,b0_l5_random_30_45_09,Q3_HARD_NEGATIVE_ABSENT,Bring me the beige bottle.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_30_45_10,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[32, 47]","[[32, 47]]","{""correct"": 5}"
L5,b0_l5_random_30_45_10,Q2_CATEGORY_COLOR_PRESENT,Bring me the dark green bottle.,5,[32],[[32]],"{""correct"": 5}"
L5,b0_l5_random_30_45_10,Q3_HARD_NEGATIVE_ABSENT,Bring me the purple bottle.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_45_60_01,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[62, 77, 87]","[[62, 77, 87]]","{""correct"": 5}"
L5,b0_l5_random_45_60_01,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow can.,5,[77],[[77]],"{""correct"": 5}"
L5,b0_l5_random_45_60_01,Q3_HARD_NEGATIVE_ABSENT,Bring me the dark green can.,0,[],[[10]],"{""object_type_comparison_failure"": 5}"
L5,b0_l5_random_45_60_02,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[72, 76]","[[72, 76]]","{""correct"": 5}"
L5,b0_l5_random_45_60_02,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue can.,5,[76],[[76]],"{""correct"": 5}"
L5,b0_l5_random_45_60_02,Q3_HARD_NEGATIVE_ABSENT,Bring me the black can.,0,[],[[64]],"{""object_type_comparison_failure"": 5}"
L5,b0_l5_random_45_60_03,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[11, 31]","[[11, 31]]","{""correct"": 5}"
L5,b0_l5_random_45_60_03,Q2_CATEGORY_COLOR_PRESENT,Bring me the beige can.,0,[11],[[]],"{""gt_target_set_disagreement_with_semantic_inventory_exact"": 5}"
L5,b0_l5_random_45_60_03,Q3_HARD_NEGATIVE_ABSENT,Bring me the white can.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_45_60_04,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[12, 19, 53]","[[12, 19, 53]]","{""correct"": 5}"
L5,b0_l5_random_45_60_04,Q2_CATEGORY_COLOR_PRESENT,Bring me the dark blue bottle.,5,[12],[[12]],"{""correct"": 5}"
L5,b0_l5_random_45_60_04,Q3_HARD_NEGATIVE_ABSENT,Bring me the yellow bottle.,0,[],[[28]],"{""object_type_comparison_failure"": 5}"
L5,b0_l5_random_45_60_05,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[11, 63, 89]","[[11, 63, 89]]","{""correct"": 5}"
L5,b0_l5_random_45_60_05,Q2_CATEGORY_COLOR_PRESENT,Bring me the pink bottle.,5,[11],[[11]],"{""correct"": 5}"
L5,b0_l5_random_45_60_05,Q3_HARD_NEGATIVE_ABSENT,Bring me the beige bottle.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_45_60_06,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[29, 42, 73, 93]","[[29, 42, 73, 93]]","{""correct"": 5}"
L5,b0_l5_random_45_60_06,Q2_CATEGORY_COLOR_PRESENT,Bring me the dark blue bottle.,0,[93],"[[42, 73, 93]]","{""gt_target_set_disagreement_with_semantic_inventory_exact"": 5}"
L5,b0_l5_random_45_60_06,Q3_HARD_NEGATIVE_ABSENT,Bring me the yellow bottle.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_45_60_07,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[73, 95]","[[73, 95]]","{""correct"": 5}"
L5,b0_l5_random_45_60_07,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue can.,5,[73],[[73]],"{""correct"": 5}"
L5,b0_l5_random_45_60_07,Q3_HARD_NEGATIVE_ABSENT,Bring me the dark green can.,0,[],[[40]],"{""object_type_comparison_failure"": 5}"
L5,b0_l5_random_45_60_08,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[14, 41]","[[14, 41]]","{""correct"": 5}"
L5,b0_l5_random_45_60_08,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow can.,5,[41],[[41]],"{""correct"": 5}"
L5,b0_l5_random_45_60_08,Q3_HARD_NEGATIVE_ABSENT,Bring me the dark blue can.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_45_60_09,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[11, 38, 52]","[[11, 38, 52]]","{""correct"": 5}"
L5,b0_l5_random_45_60_09,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow bottle.,5,[11],[[11]],"{""correct"": 5}"
L5,b0_l5_random_45_60_09,Q3_HARD_NEGATIVE_ABSENT,Bring me the white bottle.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_45_60_10,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[23, 34, 51]","[[23, 34, 51]]","{""correct"": 5}"
L5,b0_l5_random_45_60_10,Q2_CATEGORY_COLOR_PRESENT,Bring me the dark green bottle.,5,[51],[[51]],"{""correct"": 5}"
L5,b0_l5_random_45_60_10,Q3_HARD_NEGATIVE_ABSENT,Bring me the black bottle.,0,[],[[23]],"{""gt_target_set_disagreement_with_semantic_inventory_exact"": 5}"
