level,scene_id,query_id,request,successes_out_of_5,ground_truth,unique_predictions,error_types
L3,b0_l3_random_5objects_04,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[53, 96]","[[53, 96]]","{""correct"": 5}"
L3,b0_l3_random_5objects_04,Q2_CATEGORY_COLOR_PRESENT,Bring me the brown can.,5,"[53, 96]","[[53, 96]]","{""correct"": 5}"
L3,b0_l3_random_5objects_04,Q3_HARD_NEGATIVE_ABSENT,Bring me the blue can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_5objects_05,Q1_5_COLOR_ONLY_PRESENT,Bring me something yellow.,5,"[65, 79]","[[65, 79]]","{""correct"": 5}"
L3,b0_l3_random_5objects_05,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[65, 79]","[[65, 79]]","{""correct"": 5}"
L3,b0_l3_random_5objects_05,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow can.,5,"[65, 79]","[[65, 79]]","{""correct"": 5}"
L3,b0_l3_random_5objects_05,Q3_HARD_NEGATIVE_ABSENT,Bring me the purple can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_5objects_06,Q1_5_COLOR_ONLY_PRESENT,Bring me something brown.,5,[95],[[95]],"{""correct"": 5}"
L3,b0_l3_random_5objects_06,Q1_CATEGORY_PRESENT,Bring me a can.,5,[95],[[95]],"{""correct"": 5}"
L3,b0_l3_random_5objects_06,Q2_CATEGORY_COLOR_PRESENT,Bring me the brown can.,5,[95],[[95]],"{""correct"": 5}"
L3,b0_l3_random_5objects_06,Q3_HARD_NEGATIVE_ABSENT,Bring me the white can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_5objects_07,Q1_5_COLOR_ONLY_PRESENT,Bring me something blue.,5,"[80, 93, 99]","[[80, 93, 99]]","{""correct"": 5}"
L3,b0_l3_random_5objects_07,Q1_CATEGORY_PRESENT,Bring me a can.,5,[99],[[99]],"{""correct"": 5}"
L3,b0_l3_random_5objects_07,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue can.,5,[99],[[99]],"{""correct"": 5}"
L3,b0_l3_random_5objects_07,Q3_HARD_NEGATIVE_ABSENT,Bring me the black can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_5objects_08,Q1_5_COLOR_ONLY_PRESENT,Bring me something blue.,0,"[46, 80]","[[36, 46, 80]]","{""canonical_color_disagreement"": 5}"
L3,b0_l3_random_5objects_08,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[46, 80]","[[46, 80]]","{""correct"": 5}"
L3,b0_l3_random_5objects_08,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue can.,5,"[46, 80]","[[46, 80]]","{""correct"": 5}"
L3,b0_l3_random_5objects_08,Q3_HARD_NEGATIVE_ABSENT,Bring me the purple can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_5objects_09,Q1_5_COLOR_ONLY_PRESENT,Bring me something blue.,0,"[25, 77]","[[25, 45, 77]]","{""canonical_color_disagreement"": 5}"
L3,b0_l3_random_5objects_09,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[25, 77]","[[25, 77]]","{""correct"": 5}"
L3,b0_l3_random_5objects_09,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue can.,5,"[25, 77]","[[25, 77]]","{""correct"": 5}"
L3,b0_l3_random_5objects_09,Q3_HARD_NEGATIVE_ABSENT,Bring me the yellow can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_5objects_10,Q1_5_COLOR_ONLY_PRESENT,Bring me something brown.,5,"[89, 96]","[[89, 96]]","{""correct"": 5}"
L3,b0_l3_random_5objects_10,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[89, 96]","[[89, 96]]","{""correct"": 5}"
L3,b0_l3_random_5objects_10,Q2_CATEGORY_COLOR_PRESENT,Bring me the brown can.,5,"[89, 96]","[[89, 96]]","{""correct"": 5}"
L3,b0_l3_random_5objects_10,Q3_HARD_NEGATIVE_ABSENT,Bring me the pink can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_7objects_01,Q1_5_COLOR_ONLY_PRESENT,Bring me something blue.,5,"[43, 88]","[[43, 88]]","{""correct"": 5}"
L3,b0_l3_random_7objects_01,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[43, 88]","[[43, 88]]","{""correct"": 5}"
L3,b0_l3_random_7objects_01,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue bottle.,5,"[43, 88]","[[43, 88]]","{""correct"": 5}"
L3,b0_l3_random_7objects_01,Q3_HARD_NEGATIVE_ABSENT,Bring me the brown bottle.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_7objects_02,Q1_5_COLOR_ONLY_PRESENT,Bring me something brown.,5,"[70, 92]","[[70, 92]]","{""correct"": 5}"
L3,b0_l3_random_7objects_02,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[70, 92]","[[70, 92]]","{""correct"": 5}"
L3,b0_l3_random_7objects_02,Q2_CATEGORY_COLOR_PRESENT,Bring me the brown can.,5,"[70, 92]","[[70, 92]]","{""correct"": 5}"
L3,b0_l3_random_7objects_02,Q3_HARD_NEGATIVE_ABSENT,Bring me the yellow can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_7objects_03,Q1_5_COLOR_ONLY_PRESENT,Bring me something blue.,5,"[12, 69]","[[12, 69]]","{""correct"": 5}"
L3,b0_l3_random_7objects_03,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[12, 69]","[[12, 69]]","{""correct"": 5}"
L3,b0_l3_random_7objects_03,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue can.,5,"[12, 69]","[[12, 69]]","{""correct"": 5}"
L3,b0_l3_random_7objects_03,Q3_HARD_NEGATIVE_ABSENT,Bring me the green can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_7objects_04,Q1_5_COLOR_ONLY_PRESENT,Bring me something pink.,5,"[12, 68]","[[12, 68]]","{""correct"": 5}"
L3,b0_l3_random_7objects_04,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[12, 68]","[[12, 68]]","{""correct"": 5}"
L3,b0_l3_random_7objects_04,Q2_CATEGORY_COLOR_PRESENT,Bring me the pink bottle.,5,"[12, 68]","[[12, 68]]","{""correct"": 5}"
L3,b0_l3_random_7objects_04,Q3_HARD_NEGATIVE_ABSENT,Bring me the yellow bottle.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_7objects_05,Q1_5_COLOR_ONLY_PRESENT,Bring me something green.,5,"[54, 61]","[[54, 61]]","{""correct"": 5}"
L3,b0_l3_random_7objects_05,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[54, 61]","[[54, 61]]","{""correct"": 5}"
L3,b0_l3_random_7objects_05,Q2_CATEGORY_COLOR_PRESENT,Bring me the green bottle.,5,"[54, 61]","[[54, 61]]","{""correct"": 5}"
L3,b0_l3_random_7objects_05,Q3_HARD_NEGATIVE_ABSENT,Bring me the brown bottle.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_7objects_06,Q1_5_COLOR_ONLY_PRESENT,Bring me something brown.,5,"[25, 59, 63]","[[25, 59, 63]]","{""correct"": 5}"
L3,b0_l3_random_7objects_06,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[25, 59, 63]","[[25, 59, 63]]","{""correct"": 5}"
L3,b0_l3_random_7objects_06,Q2_CATEGORY_COLOR_PRESENT,Bring me the brown can.,5,"[25, 59, 63]","[[25, 59, 63]]","{""correct"": 5}"
L3,b0_l3_random_7objects_06,Q3_HARD_NEGATIVE_ABSENT,Bring me the white can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_7objects_07,Q1_5_COLOR_ONLY_PRESENT,Bring me something blue.,5,"[17, 36, 69, 71, 80]","[[17, 36, 69, 71, 80]]","{""correct"": 5}"
L3,b0_l3_random_7objects_07,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[17, 80]","[[17, 80]]","{""correct"": 5}"
L3,b0_l3_random_7objects_07,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue can.,5,"[17, 80]","[[17, 80]]","{""correct"": 5}"
L3,b0_l3_random_7objects_07,Q3_HARD_NEGATIVE_ABSENT,Bring me the purple can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_7objects_08,Q1_5_COLOR_ONLY_PRESENT,Bring me something yellow.,5,"[46, 53, 98]","[[46, 53, 98]]","{""correct"": 5}"
L3,b0_l3_random_7objects_08,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[46, 53, 98]","[[46, 53, 98]]","{""correct"": 5}"
L3,b0_l3_random_7objects_08,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow can.,5,"[46, 53, 98]","[[46, 53, 98]]","{""correct"": 5}"
L3,b0_l3_random_7objects_08,Q3_HARD_NEGATIVE_ABSENT,Bring me the blue can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_7objects_09,Q1_5_COLOR_ONLY_PRESENT,Bring me something blue.,5,"[23, 53]","[[23, 53]]","{""correct"": 5}"
L3,b0_l3_random_7objects_09,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[23, 53]","[[23, 53]]","{""correct"": 5}"
L3,b0_l3_random_7objects_09,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue can.,5,"[23, 53]","[[23, 53]]","{""correct"": 5}"
L3,b0_l3_random_7objects_09,Q3_HARD_NEGATIVE_ABSENT,Bring me the black can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_7objects_10,Q1_5_COLOR_ONLY_PRESENT,Bring me something yellow.,5,"[25, 55]","[[25, 55]]","{""correct"": 5}"
L3,b0_l3_random_7objects_10,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[25, 55]","[[25, 55]]","{""correct"": 5}"
L3,b0_l3_random_7objects_10,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow can.,5,"[25, 55]","[[25, 55]]","{""correct"": 5}"
L3,b0_l3_random_7objects_10,Q3_HARD_NEGATIVE_ABSENT,Bring me the blue can.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_30_45_01,Q1_5_COLOR_ONLY_PRESENT,Bring me something yellow.,0,"[41, 53, 93]",[[53]],"{""canonical_color_disagreement"": 5}"
L4,b0_l4_random_30_45_01,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[64, 93]","[[64, 93]]","{""correct"": 5}"
L4,b0_l4_random_30_45_01,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow bottle.,5,[93],[[93]],"{""correct"": 5}"
L4,b0_l4_random_30_45_01,Q3_HARD_NEGATIVE_ABSENT,Bring me the blue bottle.,3,[],"[[], [14]]","{""correct"": 3, ""object_recognition_failure"": 2}"
L4,b0_l4_random_30_45_02,Q1_5_COLOR_ONLY_PRESENT,Bring me something purple.,5,"[76, 89]","[[76, 89]]","{""correct"": 5}"
L4,b0_l4_random_30_45_02,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[65, 76, 95]","[[65, 76, 95]]","{""correct"": 5}"
L4,b0_l4_random_30_45_02,Q2_CATEGORY_COLOR_PRESENT,Bring me the purple bottle.,5,[76],[[76]],"{""correct"": 5}"
L4,b0_l4_random_30_45_02,Q3_HARD_NEGATIVE_ABSENT,Bring me the white bottle.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_30_45_03,Q1_5_COLOR_ONLY_PRESENT,Bring me something blue.,5,"[24, 97]","[[24, 97]]","{""correct"": 5}"
L4,b0_l4_random_30_45_03,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[18, 24]","[[18, 24]]","{""correct"": 5}"
L4,b0_l4_random_30_45_03,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue bottle.,5,[24],[[24]],"{""correct"": 5}"
L4,b0_l4_random_30_45_03,Q3_HARD_NEGATIVE_ABSENT,Bring me the brown bottle.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_30_45_04,Q1_5_COLOR_ONLY_PRESENT,Bring me something purple.,0,"[85, 91]",[[91]],"{""canonical_color_disagreement"": 5}"
L4,b0_l4_random_30_45_04,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,[85],[[85]],"{""correct"": 5}"
L4,b0_l4_random_30_45_04,Q2_CATEGORY_COLOR_PRESENT,Bring me the purple bottle.,0,[85],[[]],"{""canonical_color_disagreement"": 5}"
L4,b0_l4_random_30_45_04,Q3_HARD_NEGATIVE_ABSENT,Bring me the brown bottle.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_30_45_05,Q1_5_COLOR_ONLY_PRESENT,Bring me something brown.,5,[66],[[66]],"{""correct"": 5}"
L4,b0_l4_random_30_45_05,Q1_CATEGORY_PRESENT,Bring me a can.,5,[66],[[66]],"{""correct"": 5}"
L4,b0_l4_random_30_45_05,Q2_CATEGORY_COLOR_PRESENT,Bring me the brown can.,5,[66],[[66]],"{""correct"": 5}"
L4,b0_l4_random_30_45_05,Q3_HARD_NEGATIVE_ABSENT,Bring me the green can.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_30_45_06,Q1_5_COLOR_ONLY_PRESENT,Bring me something green.,5,[23],[[23]],"{""correct"": 5}"
L4,b0_l4_random_30_45_06,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[11, 23, 71, 98]","[[11, 23, 71, 98]]","{""correct"": 5}"
L4,b0_l4_random_30_45_06,Q2_CATEGORY_COLOR_PRESENT,Bring me the green bottle.,5,[23],[[23]],"{""correct"": 5}"
L4,b0_l4_random_30_45_06,Q3_HARD_NEGATIVE_ABSENT,Bring me the purple bottle.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_30_45_07,Q1_5_COLOR_ONLY_PRESENT,Bring me something brown.,5,[96],[[96]],"{""correct"": 5}"
L4,b0_l4_random_30_45_07,Q1_CATEGORY_PRESENT,Bring me a can.,5,[96],[[96]],"{""correct"": 5}"
L4,b0_l4_random_30_45_07,Q2_CATEGORY_COLOR_PRESENT,Bring me the brown can.,5,[96],[[96]],"{""correct"": 5}"
L4,b0_l4_random_30_45_07,Q3_HARD_NEGATIVE_ABSENT,Bring me the pink can.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_30_45_08,Q1_5_COLOR_ONLY_PRESENT,Bring me something pink.,5,[70],[[70]],"{""correct"": 5}"
L4,b0_l4_random_30_45_08,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[13, 27, 70]","[[13, 27, 70]]","{""correct"": 5}"
L4,b0_l4_random_30_45_08,Q2_CATEGORY_COLOR_PRESENT,Bring me the pink bottle.,5,[70],[[70]],"{""correct"": 5}"
L4,b0_l4_random_30_45_08,Q3_HARD_NEGATIVE_ABSENT,Bring me the yellow bottle.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_30_45_09,Q1_5_COLOR_ONLY_PRESENT,Bring me something yellow.,0,"[31, 34]",[[34]],"{""canonical_color_disagreement"": 5}"
L4,b0_l4_random_30_45_09,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[29, 31]","[[29, 31]]","{""correct"": 5}"
L4,b0_l4_random_30_45_09,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow bottle.,5,[31],[[31]],"{""correct"": 5}"
L4,b0_l4_random_30_45_09,Q3_HARD_NEGATIVE_ABSENT,Bring me the brown bottle.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_30_45_10,Q1_5_COLOR_ONLY_PRESENT,Bring me something purple.,0,"[18, 58]",[[18]],"{""canonical_color_disagreement"": 5}"
L4,b0_l4_random_30_45_10,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[26, 58, 61]","[[26, 58, 61]]","{""correct"": 5}"
L4,b0_l4_random_30_45_10,Q2_CATEGORY_COLOR_PRESENT,Bring me the purple bottle.,0,[58],[[]],"{""canonical_color_disagreement"": 5}"
L4,b0_l4_random_30_45_10,Q3_HARD_NEGATIVE_ABSENT,Bring me the white bottle.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_45_60_01,Q1_5_COLOR_ONLY_PRESENT,Bring me something yellow.,5,"[22, 64]","[[22, 64]]","{""correct"": 5}"
L4,b0_l4_random_45_60_01,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[22, 45, 56]","[[22, 45, 56]]","{""correct"": 5}"
L4,b0_l4_random_45_60_01,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow bottle.,5,[22],[[22]],"{""correct"": 5}"
L4,b0_l4_random_45_60_01,Q3_HARD_NEGATIVE_ABSENT,Bring me the purple bottle.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_45_60_02,Q1_5_COLOR_ONLY_PRESENT,Bring me something pink.,5,[54],[[54]],"{""correct"": 5}"
L4,b0_l4_random_45_60_02,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[21, 54, 73, 90]","[[21, 54, 73, 90]]","{""correct"": 5}"
L4,b0_l4_random_45_60_02,Q2_CATEGORY_COLOR_PRESENT,Bring me the pink bottle.,5,[54],[[54]],"{""correct"": 5}"
L4,b0_l4_random_45_60_02,Q3_HARD_NEGATIVE_ABSENT,Bring me the orange bottle.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_45_60_03,Q1_5_COLOR_ONLY_PRESENT,Bring me something blue.,0,"[69, 93]","[[69, 71, 93]]","{""canonical_color_disagreement"": 5}"
L4,b0_l4_random_45_60_03,Q1_CATEGORY_PRESENT,Bring me a can.,5,[69],[[69]],"{""correct"": 5}"
L4,b0_l4_random_45_60_03,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue can.,5,[69],[[69]],"{""correct"": 5}"
L4,b0_l4_random_45_60_03,Q3_HARD_NEGATIVE_ABSENT,Bring me the pink can.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_45_60_04,Q1_5_COLOR_ONLY_PRESENT,Bring me something blue.,5,[83],[[83]],"{""correct"": 5}"
L4,b0_l4_random_45_60_04,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[65, 83]","[[65, 83]]","{""correct"": 5}"
L4,b0_l4_random_45_60_04,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue can.,5,[83],[[83]],"{""correct"": 5}"
L4,b0_l4_random_45_60_04,Q3_HARD_NEGATIVE_ABSENT,Bring me the black can.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_45_60_05,Q1_5_COLOR_ONLY_PRESENT,Bring me something purple.,0,"[66, 77]","[[26, 77]]","{""canonical_color_disagreement"": 5}"
L4,b0_l4_random_45_60_05,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[26, 66, 95]","[[26, 66, 95]]","{""correct"": 5}"
L4,b0_l4_random_45_60_05,Q2_CATEGORY_COLOR_PRESENT,Bring me the purple bottle.,0,[66],[[26]],"{""canonical_color_disagreement"": 5}"
L4,b0_l4_random_45_60_05,Q3_HARD_NEGATIVE_ABSENT,Bring me the black bottle.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_45_60_06,Q1_5_COLOR_ONLY_PRESENT,Bring me something green.,5,[72],[[72]],"{""correct"": 5}"
L4,b0_l4_random_45_60_06,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[11, 72, 89]","[[11, 72, 89]]","{""correct"": 5}"
L4,b0_l4_random_45_60_06,Q2_CATEGORY_COLOR_PRESENT,Bring me the green bottle.,5,[72],[[72]],"{""correct"": 5}"
L4,b0_l4_random_45_60_06,Q3_HARD_NEGATIVE_ABSENT,Bring me the brown bottle.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_45_60_07,Q1_5_COLOR_ONLY_PRESENT,Bring me something blue.,0,"[20, 65]","[[10, 20, 55, 65], [10, 20, 65]]","{""canonical_color_disagreement"": 5}"
L4,b0_l4_random_45_60_07,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[10, 20, 40, 55]","[[10, 20, 40, 55]]","{""correct"": 5}"
L4,b0_l4_random_45_60_07,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue bottle.,0,[20],"[[10, 20], [10, 20, 55]]","{""canonical_color_disagreement"": 5}"
L4,b0_l4_random_45_60_07,Q3_HARD_NEGATIVE_ABSENT,Bring me the yellow bottle.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_45_60_08,Q1_5_COLOR_ONLY_PRESENT,Bring me something blue.,0,"[49, 72, 78]","[[49, 68, 72, 78]]","{""canonical_color_disagreement"": 5}"
L4,b0_l4_random_45_60_08,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[24, 72]","[[24, 72]]","{""correct"": 5}"
L4,b0_l4_random_45_60_08,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue can.,5,[72],[[72]],"{""correct"": 5}"
L4,b0_l4_random_45_60_08,Q3_HARD_NEGATIVE_ABSENT,Bring me the pink can.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_45_60_09,Q1_5_COLOR_ONLY_PRESENT,Bring me something yellow.,5,"[55, 92]","[[55, 92]]","{""correct"": 5}"
L4,b0_l4_random_45_60_09,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[12, 92]","[[12, 92]]","{""correct"": 5}"
L4,b0_l4_random_45_60_09,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow can.,5,[92],[[92]],"{""correct"": 5}"
L4,b0_l4_random_45_60_09,Q3_HARD_NEGATIVE_ABSENT,Bring me the green can.,5,[],[[]],"{""correct"": 5}"
L4,b0_l4_random_45_60_10,Q1_5_COLOR_ONLY_PRESENT,Bring me something blue.,0,[54],"[[12, 54]]","{""canonical_color_disagreement"": 5}"
L4,b0_l4_random_45_60_10,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[12, 54, 57]","[[12, 54, 57]]","{""correct"": 5}"
L4,b0_l4_random_45_60_10,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue bottle.,2,[54],"[[12, 54], [54]]","{""canonical_color_disagreement"": 3, ""correct"": 2}"
L4,b0_l4_random_45_60_10,Q3_HARD_NEGATIVE_ABSENT,Bring me the black bottle.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_30_45_01,Q1_5_COLOR_ONLY_PRESENT,Bring me something yellow.,2,"[37, 55]","[[37, 55], [55]]","{""canonical_color_disagreement"": 3, ""correct"": 2}"
L5,b0_l5_random_30_45_01,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[37, 62, 79]","[[37, 62, 79]]","{""correct"": 5}"
L5,b0_l5_random_30_45_01,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow can.,5,[37],[[37]],"{""correct"": 5}"
L5,b0_l5_random_30_45_01,Q3_HARD_NEGATIVE_ABSENT,Bring me the pink can.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_30_45_02,Q1_5_COLOR_ONLY_PRESENT,Bring me something yellow.,0,"[61, 87]",[[87]],"{""canonical_color_disagreement"": 5}"
L5,b0_l5_random_30_45_02,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[61, 83]","[[61, 83]]","{""correct"": 5}"
L5,b0_l5_random_30_45_02,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow bottle.,0,[61],[[]],"{""canonical_color_disagreement"": 5}"
L5,b0_l5_random_30_45_02,Q3_HARD_NEGATIVE_ABSENT,Bring me the white bottle.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_30_45_03,Q1_5_COLOR_ONLY_PRESENT,Bring me something yellow.,0,"[28, 43]",[[28]],"{""canonical_color_disagreement"": 5}"
L5,b0_l5_random_30_45_03,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[43, 51]","[[43, 51]]","{""correct"": 5}"
L5,b0_l5_random_30_45_03,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow bottle.,5,[43],[[43]],"{""correct"": 5}"
L5,b0_l5_random_30_45_03,Q3_HARD_NEGATIVE_ABSENT,Bring me the blue bottle.,0,[],[[51]],"{""canonical_color_disagreement"": 5}"
L5,b0_l5_random_30_45_04,Q1_5_COLOR_ONLY_PRESENT,Bring me something yellow.,5,"[78, 92]","[[78, 92]]","{""correct"": 5}"
L5,b0_l5_random_30_45_04,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[28, 46, 92]","[[28, 46, 92]]","{""correct"": 5}"
L5,b0_l5_random_30_45_04,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow can.,5,[92],[[92]],"{""correct"": 5}"
L5,b0_l5_random_30_45_04,Q3_HARD_NEGATIVE_ABSENT,Bring me the green can.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_30_45_05,Q1_5_COLOR_ONLY_PRESENT,Bring me something pink.,5,[83],[[83]],"{""correct"": 5}"
L5,b0_l5_random_30_45_05,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[14, 16, 63, 83]","[[14, 16, 63, 83]]","{""correct"": 5}"
L5,b0_l5_random_30_45_05,Q2_CATEGORY_COLOR_PRESENT,Bring me the pink bottle.,5,[83],[[83]],"{""correct"": 5}"
L5,b0_l5_random_30_45_05,Q3_HARD_NEGATIVE_ABSENT,Bring me the purple bottle.,2,[],"[[], [83]]","{""canonical_color_disagreement"": 3, ""correct"": 2}"
L5,b0_l5_random_30_45_06,Q1_5_COLOR_ONLY_PRESENT,Bring me something yellow.,0,"[14, 32]",[[14]],"{""canonical_color_disagreement"": 5}"
L5,b0_l5_random_30_45_06,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[25, 32, 36]","[[25, 32, 36]]","{""correct"": 5}"
L5,b0_l5_random_30_45_06,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow can.,0,[32],[[]],"{""canonical_color_disagreement"": 5}"
