scene_id,condition_key,target_object_id,scene_family,reason_correct,blocker_correct,joint_correct
scene_rotate_v05,C1,44,ROTATE,0,5,0
scene_translate_v01,C1,67,TRANSLATE,0,5,0
scene_translate_v02,C1,45,TRANSLATE,0,5,0
scene_translate_v03,C1,18,TRANSLATE,5,5,5
scene_translate_v04,C1,13,TRANSLATE,4,5,4
scene_translate_v05,C1,54,TRANSLATE,0,5,0
scene_fc_blocked_v01,C2_D4,64,FC_BLOCKED,5,5,5
scene_fc_blocked_v02,C2_D4,53,FC_BLOCKED,5,5,5
scene_fc_blocked_v03,C2_D4,12,FC_BLOCKED,5,5,5
scene_fc_blocked_v04,C2_D4,89,FC_BLOCKED,5,5,5
scene_fc_blocked_v05,C2_D4,59,FC_BLOCKED,0,5,0
scene_fc_clear_v01,C2_D4,53,FC_CLEAR,4,4,4
scene_fc_clear_v02,C2_D4,29,FC_CLEAR,0,0,0
scene_fc_clear_v03,C2_D4,95,FC_CLEAR,3,3,3
scene_fc_clear_v04,C2_D4,61,FC_CLEAR,3,3,3
scene_fc_clear_v05,C2_D4,62,FC_CLEAR,5,5,5
scene_lift_and_relocate_v01,C2_D4,59,LIFT_AND_RELOCATE,0,5,0
scene_lift_and_relocate_v02,C2_D4,70,LIFT_AND_RELOCATE,0,5,0
scene_lift_and_relocate_v03,C2_D4,12,LIFT_AND_RELOCATE,0,5,0
scene_lift_and_relocate_v04,C2_D4,68,LIFT_AND_RELOCATE,0,5,0
scene_lift_and_relocate_v05,C2_D4,43,LIFT_AND_RELOCATE,0,5,0
scene_rotate_v01,C2_D4,12,ROTATE,0,0,0
scene_rotate_v02,C2_D4,38,ROTATE,5,5,5
scene_rotate_v03,C2_D4,83,ROTATE,5,5,5
scene_rotate_v04,C2_D4,47,ROTATE,5,5,5
scene_rotate_v05,C2_D4,44,ROTATE,0,4,0
scene_translate_v01,C2_D4,67,TRANSLATE,0,5,0
scene_translate_v02,C2_D4,45,TRANSLATE,0,5,0
scene_translate_v03,C2_D4,18,TRANSLATE,5,5,5
scene_translate_v04,C2_D4,13,TRANSLATE,5,5,5
scene_translate_v05,C2_D4,54,TRANSLATE,0,5,0
scene_fc_blocked_v01,C2_D8,64,FC_BLOCKED,5,5,5
scene_fc_blocked_v02,C2_D8,53,FC_BLOCKED,5,5,5
scene_fc_blocked_v03,C2_D8,12,FC_BLOCKED,5,5,5
scene_fc_blocked_v04,C2_D8,89,FC_BLOCKED,5,5,5
scene_fc_blocked_v05,C2_D8,59,FC_BLOCKED,0,5,0
scene_fc_clear_v01,C2_D8,53,FC_CLEAR,4,4,4
scene_fc_clear_v02,C2_D8,29,FC_CLEAR,0,0,0
scene_fc_clear_v03,C2_D8,95,FC_CLEAR,3,3,3
scene_fc_clear_v04,C2_D8,61,FC_CLEAR,0,0,0
scene_fc_clear_v05,C2_D8,62,FC_CLEAR,5,5,5
scene_lift_and_relocate_v01,C2_D8,59,LIFT_AND_RELOCATE,0,5,0
scene_lift_and_relocate_v02,C2_D8,70,LIFT_AND_RELOCATE,0,5,0
scene_lift_and_relocate_v03,C2_D8,12,LIFT_AND_RELOCATE,1,5,1
scene_lift_and_relocate_v04,C2_D8,68,LIFT_AND_RELOCATE,1,5,1
scene_lift_and_relocate_v05,C2_D8,43,LIFT_AND_RELOCATE,0,5,0
scene_rotate_v01,C2_D8,12,ROTATE,0,0,0
scene_rotate_v02,C2_D8,38,ROTATE,5,5,5
scene_rotate_v03,C2_D8,83,ROTATE,4,4,4
scene_rotate_v04,C2_D8,47,ROTATE,4,4,4
scene_rotate_v05,C2_D8,44,ROTATE,2,5,2
scene_translate_v01,C2_D8,67,TRANSLATE,0,5,0
scene_translate_v02,C2_D8,45,TRANSLATE,0,5,0
scene_translate_v03,C2_D8,18,TRANSLATE,3,5,3
scene_translate_v04,C2_D8,13,TRANSLATE,5,5,5
scene_translate_v05,C2_D8,54,TRANSLATE,0,5,0
scene_fc_blocked_v01,C3_D4,64,FC_BLOCKED,5,5,5
scene_fc_blocked_v02,C3_D4,53,FC_BLOCKED,5,5,5
scene_fc_blocked_v03,C3_D4,12,FC_BLOCKED,5,5,5
scene_fc_blocked_v04,C3_D4,89,FC_BLOCKED,5,5,5
scene_fc_blocked_v05,C3_D4,59,FC_BLOCKED,0,5,0
scene_fc_clear_v01,C3_D4,53,FC_CLEAR,0,0,0
scene_fc_clear_v02,C3_D4,29,FC_CLEAR,0,0,0
scene_fc_clear_v03,C3_D4,95,FC_CLEAR,1,1,1
scene_fc_clear_v04,C3_D4,61,FC_CLEAR,0,0,0
scene_fc_clear_v05,C3_D4,62,FC_CLEAR,5,5,5
scene_lift_and_relocate_v01,C3_D4,59,LIFT_AND_RELOCATE,0,5,0
scene_lift_and_relocate_v02,C3_D4,70,LIFT_AND_RELOCATE,0,0,0
scene_lift_and_relocate_v03,C3_D4,12,LIFT_AND_RELOCATE,0,5,0
scene_lift_and_relocate_v04,C3_D4,68,LIFT_AND_RELOCATE,0,0,0
scene_lift_and_relocate_v05,C3_D4,43,LIFT_AND_RELOCATE,0,5,0
scene_rotate_v01,C3_D4,12,ROTATE,0,0,0
scene_rotate_v02,C3_D4,38,ROTATE,1,2,1
scene_rotate_v03,C3_D4,83,ROTATE,3,2,2
scene_rotate_v04,C3_D4,47,ROTATE,1,0,0
scene_rotate_v05,C3_D4,44,ROTATE,1,5,1
scene_translate_v01,C3_D4,67,TRANSLATE,0,5,0
scene_translate_v02,C3_D4,45,TRANSLATE,0,5,0
scene_translate_v03,C3_D4,18,TRANSLATE,2,5,2
scene_translate_v04,C3_D4,13,TRANSLATE,1,2,1
scene_translate_v05,C3_D4,54,TRANSLATE,0,5,0
scene_fc_blocked_v01,C3_D8,64,FC_BLOCKED,5,5,5
scene_fc_blocked_v02,C3_D8,53,FC_BLOCKED,5,5,5
scene_fc_blocked_v03,C3_D8,12,FC_BLOCKED,5,5,5
scene_fc_blocked_v04,C3_D8,89,FC_BLOCKED,5,5,5
scene_fc_blocked_v05,C3_D8,59,FC_BLOCKED,0,5,0
scene_fc_clear_v01,C3_D8,53,FC_CLEAR,0,0,0
scene_fc_clear_v02,C3_D8,29,FC_CLEAR,0,0,0
scene_fc_clear_v03,C3_D8,95,FC_CLEAR,0,0,0
scene_fc_clear_v04,C3_D8,61,FC_CLEAR,0,0,0
scene_fc_clear_v05,C3_D8,62,FC_CLEAR,5,5,5
scene_lift_and_relocate_v01,C3_D8,59,LIFT_AND_RELOCATE,0,5,0
scene_lift_and_relocate_v02,C3_D8,70,LIFT_AND_RELOCATE,0,0,0
scene_lift_and_relocate_v03,C3_D8,12,LIFT_AND_RELOCATE,0,1,0
scene_lift_and_relocate_v04,C3_D8,68,LIFT_AND_RELOCATE,0,0,0
scene_lift_and_relocate_v05,C3_D8,43,LIFT_AND_RELOCATE,0,5,0
scene_rotate_v01,C3_D8,12,ROTATE,0,0,0
scene_rotate_v02,C3_D8,38,ROTATE,3,3,3
scene_rotate_v03,C3_D8,83,ROTATE,3,2,2
scene_rotate_v04,C3_D8,47,ROTATE,4,4,4
scene_rotate_v05,C3_D8,44,ROTATE,3,5,3
scene_translate_v01,C3_D8,67,TRANSLATE,0,5,0
scene_translate_v02,C3_D8,45,TRANSLATE,0,5,0
scene_translate_v03,C3_D8,18,TRANSLATE,1,5,1
scene_translate_v04,C3_D8,13,TRANSLATE,3,5,3
scene_translate_v05,C3_D8,54,TRANSLATE,0,5,0
scene_fc_blocked_v01,C4_D4,64,FC_BLOCKED,5,5,5
scene_fc_blocked_v02,C4_D4,53,FC_BLOCKED,5,5,5
scene_fc_blocked_v03,C4_D4,12,FC_BLOCKED,5,5,5
scene_fc_blocked_v04,C4_D4,89,FC_BLOCKED,5,5,5
scene_fc_blocked_v05,C4_D4,59,FC_BLOCKED,0,5,0
scene_fc_clear_v01,C4_D4,53,FC_CLEAR,0,0,0
scene_fc_clear_v02,C4_D4,29,FC_CLEAR,0,0,0
scene_fc_clear_v03,C4_D4,95,FC_CLEAR,5,5,5
scene_fc_clear_v04,C4_D4,61,FC_CLEAR,0,0,0
scene_fc_clear_v05,C4_D4,62,FC_CLEAR,5,5,5
scene_lift_and_relocate_v01,C4_D4,59,LIFT_AND_RELOCATE,0,5,0
scene_lift_and_relocate_v02,C4_D4,70,LIFT_AND_RELOCATE,0,4,0
scene_lift_and_relocate_v03,C4_D4,12,LIFT_AND_RELOCATE,0,4,0
scene_lift_and_relocate_v04,C4_D4,68,LIFT_AND_RELOCATE,0,0,0
scene_lift_and_relocate_v05,C4_D4,43,LIFT_AND_RELOCATE,0,5,0
scene_rotate_v01,C4_D4,12,ROTATE,2,2,2
scene_rotate_v02,C4_D4,38,ROTATE,5,5,5
scene_rotate_v03,C4_D4,83,ROTATE,5,0,0
scene_rotate_v04,C4_D4,47,ROTATE,5,0,0
scene_rotate_v05,C4_D4,44,ROTATE,5,5,5
scene_translate_v01,C4_D4,67,TRANSLATE,0,5,0
scene_translate_v02,C4_D4,45,TRANSLATE,0,5,0
scene_translate_v03,C4_D4,18,TRANSLATE,0,5,0
scene_translate_v04,C4_D4,13,TRANSLATE,5,5,5
scene_translate_v05,C4_D4,54,TRANSLATE,0,5,0
scene_fc_blocked_v01,C4_D8,64,FC_BLOCKED,5,5,5
scene_fc_blocked_v02,C4_D8,53,FC_BLOCKED,5,5,5
scene_fc_blocked_v03,C4_D8,12,FC_BLOCKED,5,5,5
scene_fc_blocked_v04,C4_D8,89,FC_BLOCKED,5,5,5
scene_fc_blocked_v05,C4_D8,59,FC_BLOCKED,0,5,0
scene_fc_clear_v01,C4_D8,53,FC_CLEAR,3,3,3
scene_fc_clear_v02,C4_D8,29,FC_CLEAR,0,0,0
scene_fc_clear_v03,C4_D8,95,FC_CLEAR,3,3,3
scene_fc_clear_v04,C4_D8,61,FC_CLEAR,0,0,0
scene_fc_clear_v05,C4_D8,62,FC_CLEAR,5,5,5
scene_lift_and_relocate_v01,C4_D8,59,LIFT_AND_RELOCATE,0,5,0
scene_lift_and_relocate_v02,C4_D8,70,LIFT_AND_RELOCATE,0,3,0
scene_lift_and_relocate_v03,C4_D8,12,LIFT_AND_RELOCATE,0,3,0
scene_lift_and_relocate_v04,C4_D8,68,LIFT_AND_RELOCATE,0,0,0
scene_lift_and_relocate_v05,C4_D8,43,LIFT_AND_RELOCATE,0,5,0
scene_rotate_v01,C4_D8,12,ROTATE,1,1,1
scene_rotate_v02,C4_D8,38,ROTATE,5,5,5
scene_rotate_v03,C4_D8,83,ROTATE,3,4,3
scene_rotate_v04,C4_D8,47,ROTATE,5,3,3
scene_rotate_v05,C4_D8,44,ROTATE,0,4,0
scene_translate_v01,C4_D8,67,TRANSLATE,0,5,0
scene_translate_v02,C4_D8,45,TRANSLATE,0,5,0
scene_translate_v03,C4_D8,18,TRANSLATE,1,5,1
scene_translate_v04,C4_D8,13,TRANSLATE,5,5,5
scene_translate_v05,C4_D8,54,TRANSLATE,0,5,0
scene_fc_blocked_v01,C5_D4,64,FC_BLOCKED,5,5,5
scene_fc_blocked_v02,C5_D4,53,FC_BLOCKED,5,5,5
scene_fc_blocked_v03,C5_D4,12,FC_BLOCKED,5,5,5
scene_fc_blocked_v04,C5_D4,89,FC_BLOCKED,5,5,5
scene_fc_blocked_v05,C5_D4,59,FC_BLOCKED,0,5,0
scene_fc_clear_v01,C5_D4,53,FC_CLEAR,4,4,4
scene_fc_clear_v02,C5_D4,29,FC_CLEAR,1,1,1
scene_fc_clear_v03,C5_D4,95,FC_CLEAR,1,1,1
scene_fc_clear_v04,C5_D4,61,FC_CLEAR,4,4,4
scene_fc_clear_v05,C5_D4,62,FC_CLEAR,5,5,5
scene_lift_and_relocate_v01,C5_D4,59,LIFT_AND_RELOCATE,0,5,0
scene_lift_and_relocate_v02,C5_D4,70,LIFT_AND_RELOCATE,0,3,0
scene_lift_and_relocate_v03,C5_D4,12,LIFT_AND_RELOCATE,0,3,0
scene_lift_and_relocate_v04,C5_D4,68,LIFT_AND_RELOCATE,0,1,0
scene_lift_and_relocate_v05,C5_D4,43,LIFT_AND_RELOCATE,0,5,0
scene_rotate_v01,C5_D4,12,ROTATE,3,3,3
scene_rotate_v02,C5_D4,38,ROTATE,4,4,4
scene_rotate_v03,C5_D4,83,ROTATE,5,0,0
scene_rotate_v04,C5_D4,47,ROTATE,4,5,4
scene_rotate_v05,C5_D4,44,ROTATE,4,5,4
scene_translate_v01,C5_D4,67,TRANSLATE,0,5,0
scene_translate_v02,C5_D4,45,TRANSLATE,0,5,0
scene_translate_v03,C5_D4,18,TRANSLATE,5,5,5
scene_translate_v04,C5_D4,13,TRANSLATE,5,5,5
scene_translate_v05,C5_D4,54,TRANSLATE,0,5,0
scene_fc_blocked_v01,C5_D8,64,FC_BLOCKED,5,5,5
scene_fc_blocked_v02,C5_D8,53,FC_BLOCKED,5,5,5
scene_fc_blocked_v03,C5_D8,12,FC_BLOCKED,5,5,5
scene_fc_blocked_v04,C5_D8,89,FC_BLOCKED,5,5,5
scene_fc_blocked_v05,C5_D8,59,FC_BLOCKED,0,5,0
scene_fc_clear_v01,C5_D8,53,FC_CLEAR,0,0,0
scene_fc_clear_v02,C5_D8,29,FC_CLEAR,0,0,0
scene_fc_clear_v03,C5_D8,95,FC_CLEAR,0,0,0
scene_fc_clear_v04,C5_D8,61,FC_CLEAR,0,0,0
scene_fc_clear_v05,C5_D8,62,FC_CLEAR,4,4,4
scene_lift_and_relocate_v01,C5_D8,59,LIFT_AND_RELOCATE,0,5,0
scene_lift_and_relocate_v02,C5_D8,70,LIFT_AND_RELOCATE,0,0,0
scene_lift_and_relocate_v03,C5_D8,12,LIFT_AND_RELOCATE,0,3,0
scene_lift_and_relocate_v04,C5_D8,68,LIFT_AND_RELOCATE,0,0,0
scene_lift_and_relocate_v05,C5_D8,43,LIFT_AND_RELOCATE,0,5,0
scene_rotate_v01,C5_D8,12,ROTATE,2,2,2
scene_rotate_v02,C5_D8,38,ROTATE,5,5,5
scene_rotate_v03,C5_D8,83,ROTATE,5,0,0
scene_rotate_v04,C5_D8,47,ROTATE,5,5,5
scene_rotate_v05,C5_D8,44,ROTATE,0,5,0
scene_translate_v01,C5_D8,67,TRANSLATE,0,5,0
scene_translate_v02,C5_D8,45,TRANSLATE,0,5,0
scene_translate_v03,C5_D8,18,TRANSLATE,3,5,3
scene_translate_v04,C5_D8,13,TRANSLATE,4,5,4
scene_translate_v05,C5_D8,54,TRANSLATE,0,5,0
scene_fc_blocked_v01,C6_D4,64,FC_BLOCKED,3,5,3
scene_fc_blocked_v02,C6_D4,53,FC_BLOCKED,5,5,5
scene_fc_blocked_v03,C6_D4,12,FC_BLOCKED,5,5,5
scene_fc_blocked_v04,C6_D4,89,FC_BLOCKED,5,5,5
scene_fc_blocked_v05,C6_D4,59,FC_BLOCKED,0,5,0
scene_fc_clear_v01,C6_D4,53,FC_CLEAR,0,0,0
scene_fc_clear_v02,C6_D4,29,FC_CLEAR,0,0,0
scene_fc_clear_v03,C6_D4,95,FC_CLEAR,5,5,5
scene_fc_clear_v04,C6_D4,61,FC_CLEAR,0,0,0
scene_fc_clear_v05,C6_D4,62,FC_CLEAR,5,5,5
scene_lift_and_relocate_v01,C6_D4,59,LIFT_AND_RELOCATE,0,5,0
scene_lift_and_relocate_v02,C6_D4,70,LIFT_AND_RELOCATE,0,4,0
scene_lift_and_relocate_v03,C6_D4,12,LIFT_AND_RELOCATE,0,5,0
scene_lift_and_relocate_v04,C6_D4,68,LIFT_AND_RELOCATE,0,1,0
scene_lift_and_relocate_v05,C6_D4,43,LIFT_AND_RELOCATE,0,5,0
scene_rotate_v01,C6_D4,12,ROTATE,3,3,3
scene_rotate_v02,C6_D4,38,ROTATE,5,5,5
scene_rotate_v03,C6_D4,83,ROTATE,5,0,0
scene_rotate_v04,C6_D4,47,ROTATE,5,3,3
scene_rotate_v05,C6_D4,44,ROTATE,4,5,4
scene_translate_v01,C6_D4,67,TRANSLATE,0,5,0
scene_translate_v02,C6_D4,45,TRANSLATE,0,5,0
scene_translate_v03,C6_D4,18,TRANSLATE,5,5,5
scene_translate_v04,C6_D4,13,TRANSLATE,5,3,3
scene_translate_v05,C6_D4,54,TRANSLATE,0,5,0
scene_fc_blocked_v01,C6_D8,64,FC_BLOCKED,5,5,5
scene_fc_blocked_v02,C6_D8,53,FC_BLOCKED,5,5,5
scene_fc_blocked_v03,C6_D8,12,FC_BLOCKED,5,5,5
scene_fc_blocked_v04,C6_D8,89,FC_BLOCKED,5,5,5
scene_fc_blocked_v05,C6_D8,59,FC_BLOCKED,0,5,0
scene_fc_clear_v01,C6_D8,53,FC_CLEAR,1,1,1
scene_fc_clear_v02,C6_D8,29,FC_CLEAR,2,2,2
scene_fc_clear_v03,C6_D8,95,FC_CLEAR,5,5,5
scene_fc_clear_v04,C6_D8,61,FC_CLEAR,0,0,0
scene_fc_clear_v05,C6_D8,62,FC_CLEAR,5,5,5
scene_lift_and_relocate_v01,C6_D8,59,LIFT_AND_RELOCATE,0,5,0
scene_lift_and_relocate_v02,C6_D8,70,LIFT_AND_RELOCATE,0,1,0
scene_lift_and_relocate_v03,C6_D8,12,LIFT_AND_RELOCATE,0,4,0
scene_lift_and_relocate_v04,C6_D8,68,LIFT_AND_RELOCATE,0,0,0
scene_lift_and_relocate_v05,C6_D8,43,LIFT_AND_RELOCATE,0,5,0
scene_rotate_v01,C6_D8,12,ROTATE,2,1,1
scene_rotate_v02,C6_D8,38,ROTATE,5,5,5
scene_rotate_v03,C6_D8,83,ROTATE,5,0,0
scene_rotate_v04,C6_D8,47,ROTATE,4,3,3
scene_rotate_v05,C6_D8,44,ROTATE,5,4,4
scene_translate_v01,C6_D8,67,TRANSLATE,0,5,0
scene_translate_v02,C6_D8,45,TRANSLATE,0,5,0
scene_translate_v03,C6_D8,18,TRANSLATE,4,5,4
scene_translate_v04,C6_D8,13,TRANSLATE,5,1,1
scene_translate_v05,C6_D8,54,TRANSLATE,0,5,0
