condition_id,temperature,enumeration,output_format,run_id,level,scene_id,seed,error_type,visible_missing_ids,visible_extra_ids,instance_missing_ids,instance_extra_ids,cross_field_consistency_exact,bad_instances,raw_response
T07_ENUM_TEXT,0.7,True,TEXT,T07_ENUM_TEXT__b0_l5_random_45_60_04__r01_s28101,L5,b0_l5_random_45_60_04,28101,object_error_only,[],[],[],[],True,"[{""asset_id"": ""mug_7"", ""color_correct"": true, ""color_reference"": ""orange-brown"", ""color_strict_correct"": true, ""id"": 85, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""cup_or_mug"", ""object_reference"": ""mug"", ""predicted_color"": ""brown"", ""predicted_object_type"": ""container""}]","visible_ids: [73, 19, 56, 85, 12, 68, 28, 53, 71]\n\n73 | mug | black\n19 | bottle | green\n56 | can | brown\n85 | container | brown\n12 | bottle | blue\n68 | cup | blue\n28 | can | yellow\n53 | bottle | purple\n71 | cup | white"
T03_DIRECT_TEXT,0.3,False,TEXT,T03_DIRECT_TEXT__b0_l5_random_45_60_05__r01_s28101,L5,b0_l5_random_45_60_05,28101,id_coverage_failure,[],[],[89],[],,"[{""asset_id"": ""top"", ""color_correct"": false, ""color_reference"": ""dark green"", ""color_strict_correct"": false, ""id"": 89, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""bottle"", ""object_reference"": ""plastic beverage bottle"", ""predicted_color"": null, ""predicted_object_type"": null}]",51 | mug | brown\n54 | can | yellow\n71 | can | blue\n63 | bottle | blue\n74 | cup | black\n59 | can | brown\n11 | bottle | purple\n25 | cup | purple
T03_ENUM_TEXT,0.3,True,TEXT,T03_ENUM_TEXT__b0_l5_random_45_60_06__r01_s28101,L5,b0_l5_random_45_60_06,28101,object_error_only,[],[],[],[],True,"[{""asset_id"": ""mug_7"", ""color_correct"": true, ""color_reference"": ""orange-brown"", ""color_strict_correct"": true, ""id"": 55, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""cup_or_mug"", ""object_reference"": ""mug"", ""predicted_color"": ""orange"", ""predicted_object_type"": ""container""}]","visible_ids: [77, 47, 93, 55, 29, 39, 42, 50, 73]\n\n77 | cup | purple\n47 | can | brown\n93 | bottle | blue\n55 | container | orange\n29 | bottle | pink\n39 | can | blue\n42 | bottle | green\n50 | can | yellow\n73 | bottle | blue"
T07_ENUM_JSON,0.7,True,JSON_FORCED,T07_ENUM_JSON__b0_l5_random_45_60_06__r01_s28101,L5,b0_l5_random_45_60_06,28101,object_error_only,[],[],[],[],True,"[{""asset_id"": ""mug_7"", ""color_correct"": true, ""color_reference"": ""orange-brown"", ""color_strict_correct"": true, ""id"": 55, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""cup_or_mug"", ""object_reference"": ""mug"", ""predicted_color"": ""brown"", ""predicted_object_type"": ""container""}]","{""visible_ids"": [77, 47, 93, 55, 29, 39, 42, 50, 73], ""instances"": [{""id"": 77, ""object_type"": ""cup"", ""color"": ""purple""}, {""id"": 47, ""object_type"": ""can"", ""color"": ""brown""}, {""id"": 93, ""object_type"": ""bottle"", ""color"": ""blue""}, {""id"": 55, ""object_type"": ""container"", ""color"": ""brown""}, {""id"": 29, ""object_type"": ""bottle"", ""color"": ""pink""}, {""id"": 39, ""object_type"": ""can"", ""color"": ""blue""}, {""id"": 42, ""object_type"": ""bottle"", ""color"": ""green""}, {""id"": 50, ""object_type"": ""can"", ""color"": ""yellow""}, {""id"": 73, ""object_type"": ""bottle"", ""color"": ""blue""}]}"
T05_DIRECT_TEXT,0.5,False,TEXT,T05_DIRECT_TEXT__b0_l3_random_7objects_05__r02_s28102,L3,b0_l3_random_7objects_05,28102,object_error_only,[],[],[],[],,"[{""asset_id"": ""mug_7"", ""color_correct"": true, ""color_reference"": ""orange-brown"", ""color_strict_correct"": true, ""id"": 59, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""cup_or_mug"", ""object_reference"": ""mug"", ""predicted_color"": ""brown"", ""predicted_object_type"": ""can""}]",84 | can | brown\n59 | can | brown\n93 | can | brown\n61 | bottle | green\n54 | bottle | green\n86 | can | brown\n14 | mug | brown
T07_DIRECT_TEXT,0.7,False,TEXT,T07_DIRECT_TEXT__b0_l3_random_7objects_05__r02_s28102,L3,b0_l3_random_7objects_05,28102,object_error_only,[],[],[],[],,"[{""asset_id"": ""mug_7"", ""color_correct"": true, ""color_reference"": ""orange-brown"", ""color_strict_correct"": true, ""id"": 59, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""cup_or_mug"", ""object_reference"": ""mug"", ""predicted_color"": ""brown"", ""predicted_object_type"": ""can""}]",84 | can | brown\n59 | can | brown\n93 | can | brown\n61 | bottle | green\n54 | bottle | green\n86 | can | brown\n14 | mug | brown
T07_DIRECT_TEXT,0.7,False,TEXT,T07_DIRECT_TEXT__b0_l4_random_30_45_02__r02_s28102,L4,b0_l4_random_30_45_02,28102,id_coverage_failure,[],[],[32],[52],,"[{""asset_id"": ""letsbe"", ""color_correct"": false, ""color_reference"": ""blue"", ""color_strict_correct"": false, ""id"": 32, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""can"", ""object_reference"": ""beverage can"", ""predicted_color"": null, ""predicted_object_type"": null}]",18 | cup | white\n23 | cup | blue\n47 | mug | brown\n52 | can | blue\n65 | bottle | yellow\n76 | bottle | blue\n89 | cup | purple\n95 | bottle | green
T05_DIRECT_JSON,0.5,False,JSON_FORCED,T05_DIRECT_JSON__b0_l4_random_45_60_04__r02_s28102,L4,b0_l4_random_45_60_04,28102,color_error_only,[],[],[],[],,"[{""asset_id"": ""top"", ""color_correct"": false, ""color_reference"": ""dark green"", ""color_strict_correct"": false, ""id"": 58, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": true, ""object_family"": ""bottle"", ""object_reference"": ""plastic beverage bottle"", ""predicted_color"": ""black"", ""predicted_object_type"": ""bottle""}]","{""instances"": [{""id"": 21, ""object_type"": ""cup"", ""color"": ""purple""}, {""id"": 86, ""object_type"": ""cup"", ""color"": ""white""}, {""id"": 83, ""object_type"": ""can"", ""color"": ""blue""}, {""id"": 91, ""object_type"": ""bottle"", ""color"": ""yellow""}, {""id"": 65, ""object_type"": ""can"", ""color"": ""brown""}, {""id"": 23, ""object_type"": ""mug"", ""color"": ""black""}, {""id"": 15, ""object_type"": ""cup"", ""color"": ""purple""}, {""id"": 58, ""object_type"": ""bottle"", ""color"": ""black""}]}"
T07_DIRECT_JSON,0.7,False,JSON_FORCED,T07_DIRECT_JSON__b0_l4_random_45_60_04__r02_s28102,L4,b0_l4_random_45_60_04,28102,color_error_only,[],[],[],[],,"[{""asset_id"": ""top"", ""color_correct"": false, ""color_reference"": ""dark green"", ""color_strict_correct"": false, ""id"": 58, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": true, ""object_family"": ""bottle"", ""object_reference"": ""plastic beverage bottle"", ""predicted_color"": ""black"", ""predicted_object_type"": ""bottle""}]","{""instances"": [{""id"": 21, ""object_type"": ""cup"", ""color"": ""purple""}, {""id"": 86, ""object_type"": ""cup"", ""color"": ""white""}, {""id"": 83, ""object_type"": ""can"", ""color"": ""blue""}, {""id"": 91, ""object_type"": ""bottle"", ""color"": ""yellow""}, {""id"": 65, ""object_type"": ""can"", ""color"": ""brown""}, {""id"": 23, ""object_type"": ""mug"", ""color"": ""black""}, {""id"": 15, ""object_type"": ""cup"", ""color"": ""purple""}, {""id"": 58, ""object_type"": ""bottle"", ""color"": ""black""}]}"
T03_ENUM_TEXT,0.3,True,TEXT,T03_ENUM_TEXT__b0_l4_random_45_60_06__r02_s28102,L4,b0_l4_random_45_60_06,28102,object_error_only,[],[],[],[],True,"[{""asset_id"": ""mug_7"", ""color_correct"": true, ""color_reference"": ""orange-brown"", ""color_strict_correct"": true, ""id"": 60, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""cup_or_mug"", ""object_reference"": ""mug"", ""predicted_color"": ""orange"", ""predicted_object_type"": ""container""}]","visible_ids: [77, 23, 72, 42, 60, 89, 11, 27]\n\n77 | cup | purple\n23 | can | blue\n72 | bottle | green\n42 | can | brown\n60 | container | orange\n89 | bottle | pink\n11 | bottle | blue\n27 | mug | black"
T03_ENUM_JSON,0.3,True,JSON_FORCED,T03_ENUM_JSON__b0_l4_random_45_60_06__r02_s28102,L4,b0_l4_random_45_60_06,28102,object_error_only,[],[],[],[],True,"[{""asset_id"": ""mug_7"", ""color_correct"": true, ""color_reference"": ""orange-brown"", ""color_strict_correct"": true, ""id"": 60, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""cup_or_mug"", ""object_reference"": ""mug"", ""predicted_color"": ""orange"", ""predicted_object_type"": ""container""}]","{""visible_ids"": [77, 23, 72, 42, 60, 89, 11, 27], ""instances"": [{""id"": 77, ""object_type"": ""cup"", ""color"": ""purple""}, {""id"": 23, ""object_type"": ""can"", ""color"": ""blue""}, {""id"": 72, ""object_type"": ""bottle"", ""color"": ""green""}, {""id"": 42, ""object_type"": ""can"", ""color"": ""brown""}, {""id"": 60, ""object_type"": ""container"", ""color"": ""orange""}, {""id"": 89, ""object_type"": ""bottle"", ""color"": ""pink""}, {""id"": 11, ""object_type"": ""bottle"", ""color"": ""blue""}, {""id"": 27, ""object_type"": ""cup"", ""color"": ""black""}]}"
T05_ENUM_TEXT,0.5,True,TEXT,T05_ENUM_TEXT__b0_l4_random_45_60_06__r02_s28102,L4,b0_l4_random_45_60_06,28102,object_error_only,[],[],[],[],True,"[{""asset_id"": ""mug_7"", ""color_correct"": true, ""color_reference"": ""orange-brown"", ""color_strict_correct"": true, ""id"": 60, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""cup_or_mug"", ""object_reference"": ""mug"", ""predicted_color"": ""orange"", ""predicted_object_type"": ""container""}]","visible_ids: [77, 23, 72, 42, 60, 89, 11, 27]\n\n77 | cup | purple\n23 | can | blue\n72 | bottle | green\n42 | can | brown\n60 | container | orange\n89 | bottle | pink\n11 | bottle | blue\n27 | mug | black"
T05_ENUM_JSON,0.5,True,JSON_FORCED,T05_ENUM_JSON__b0_l4_random_45_60_06__r02_s28102,L4,b0_l4_random_45_60_06,28102,object_error_only,[],[],[],[],True,"[{""asset_id"": ""mug_7"", ""color_correct"": true, ""color_reference"": ""orange-brown"", ""color_strict_correct"": true, ""id"": 60, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""cup_or_mug"", ""object_reference"": ""mug"", ""predicted_color"": ""orange"", ""predicted_object_type"": ""container""}]","{""visible_ids"": [77, 23, 72, 42, 60, 89, 11, 27], ""instances"": [{""id"": 77, ""object_type"": ""cup"", ""color"": ""purple""}, {""id"": 23, ""object_type"": ""can"", ""color"": ""blue""}, {""id"": 72, ""object_type"": ""bottle"", ""color"": ""green""}, {""id"": 42, ""object_type"": ""can"", ""color"": ""brown""}, {""id"": 60, ""object_type"": ""container"", ""color"": ""orange""}, {""id"": 89, ""object_type"": ""bottle"", ""color"": ""pink""}, {""id"": 11, ""object_type"": ""bottle"", ""color"": ""blue""}, {""id"": 27, ""object_type"": ""cup"", ""color"": ""black""}]}"
T07_ENUM_TEXT,0.7,True,TEXT,T07_ENUM_TEXT__b0_l4_random_45_60_06__r02_s28102,L4,b0_l4_random_45_60_06,28102,object_error_only,[],[],[],[],True,"[{""asset_id"": ""mug_7"", ""color_correct"": true, ""color_reference"": ""orange-brown"", ""color_strict_correct"": true, ""id"": 60, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""cup_or_mug"", ""object_reference"": ""mug"", ""predicted_color"": ""orange"", ""predicted_object_type"": ""container""}]","visible_ids: [77, 23, 72, 42, 60, 89, 11, 27]\n\n77 | cup | purple\n23 | can | blue\n72 | bottle | green\n42 | can | brown\n60 | container | orange\n89 | bottle | pink\n11 | bottle | blue\n27 | mug | black"
T07_ENUM_JSON,0.7,True,JSON_FORCED,T07_ENUM_JSON__b0_l4_random_45_60_06__r02_s28102,L4,b0_l4_random_45_60_06,28102,object_error_only,[],[],[],[],True,"[{""asset_id"": ""mug_7"", ""color_correct"": true, ""color_reference"": ""orange-brown"", ""color_strict_correct"": true, ""id"": 60, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""cup_or_mug"", ""object_reference"": ""mug"", ""predicted_color"": ""orange"", ""predicted_object_type"": ""container""}]","{""visible_ids"": [77, 23, 72, 42, 60, 89, 11, 27], ""instances"": [{""id"": 77, ""object_type"": ""cup"", ""color"": ""purple""}, {""id"": 23, ""object_type"": ""can"", ""color"": ""blue""}, {""id"": 72, ""object_type"": ""bottle"", ""color"": ""green""}, {""id"": 42, ""object_type"": ""can"", ""color"": ""brown""}, {""id"": 60, ""object_type"": ""container"", ""color"": ""orange""}, {""id"": 89, ""object_type"": ""bottle"", ""color"": ""pink""}, {""id"": 11, ""object_type"": ""bottle"", ""color"": ""blue""}, {""id"": 27, ""object_type"": ""cup"", ""color"": ""black""}]}"
T03_ENUM_TEXT,0.3,True,TEXT,T03_ENUM_TEXT__b0_l5_random_45_60_04__r02_s28102,L5,b0_l5_random_45_60_04,28102,object_error_only,[],[],[],[],True,"[{""asset_id"": ""mug_7"", ""color_correct"": true, ""color_reference"": ""orange-brown"", ""color_strict_correct"": true, ""id"": 85, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""cup_or_mug"", ""object_reference"": ""mug"", ""predicted_color"": ""brown"", ""predicted_object_type"": ""container""}]","visible_ids: [73, 19, 56, 85, 12, 68, 28, 53, 71]\n\n73 | mug | black\n19 | bottle | green\n56 | can | brown\n85 | container | brown\n12 | bottle | blue\n68 | cup | blue\n28 | can | yellow\n53 | bottle | purple\n71 | cup | white"
T05_ENUM_TEXT,0.5,True,TEXT,T05_ENUM_TEXT__b0_l5_random_45_60_04__r02_s28102,L5,b0_l5_random_45_60_04,28102,object_error_only,[],[],[],[],True,"[{""asset_id"": ""mug_7"", ""color_correct"": true, ""color_reference"": ""orange-brown"", ""color_strict_correct"": true, ""id"": 85, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""cup_or_mug"", ""object_reference"": ""mug"", ""predicted_color"": ""brown"", ""predicted_object_type"": ""container""}]","visible_ids: [73, 19, 56, 85, 12, 68, 28, 53, 71]\n\n73 | mug | black\n19 | bottle | green\n56 | can | brown\n85 | container | brown\n12 | bottle | blue\n68 | cup | blue\n28 | can | yellow\n53 | bottle | purple\n71 | cup | white"
T07_ENUM_TEXT,0.7,True,TEXT,T07_ENUM_TEXT__b0_l5_random_45_60_04__r02_s28102,L5,b0_l5_random_45_60_04,28102,object_error_only,[],[],[],[],True,"[{""asset_id"": ""mug_7"", ""color_correct"": true, ""color_reference"": ""orange-brown"", ""color_strict_correct"": true, ""id"": 85, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""cup_or_mug"", ""object_reference"": ""mug"", ""predicted_color"": ""brown"", ""predicted_object_type"": ""container""}]","visible_ids: [73, 19, 56, 85, 12, 68, 28, 53, 71]\n\n73 | mug | black\n19 | bottle | green\n56 | can | brown\n85 | container | brown\n12 | bottle | blue\n68 | cup | blue\n28 | can | yellow\n53 | bottle | purple\n71 | cup | white"
T03_DIRECT_TEXT,0.3,False,TEXT,T03_DIRECT_TEXT__b0_l5_random_45_60_05__r02_s28102,L5,b0_l5_random_45_60_05,28102,id_coverage_failure,[],[],[89],[],,"[{""asset_id"": ""top"", ""color_correct"": false, ""color_reference"": ""dark green"", ""color_strict_correct"": false, ""id"": 89, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""bottle"", ""object_reference"": ""plastic beverage bottle"", ""predicted_color"": null, ""predicted_object_type"": null}]",51 | mug | brown\n54 | can | yellow\n71 | can | blue\n63 | bottle | blue\n74 | cup | black\n59 | can | brown\n11 | bottle | purple\n25 | cup | purple
T03_ENUM_TEXT,0.3,True,TEXT,T03_ENUM_TEXT__b0_l5_random_45_60_06__r02_s28102,L5,b0_l5_random_45_60_06,28102,object_error_only,[],[],[],[],True,"[{""asset_id"": ""mug_7"", ""color_correct"": true, ""color_reference"": ""orange-brown"", ""color_strict_correct"": true, ""id"": 55, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""cup_or_mug"", ""object_reference"": ""mug"", ""predicted_color"": ""brown"", ""predicted_object_type"": ""container""}]","visible_ids: [77, 47, 93, 55, 29, 39, 42, 50, 73]\n\n77 | cup | purple\n47 | can | brown\n93 | bottle | blue\n55 | container | brown\n29 | bottle | pink\n39 | can | blue\n42 | bottle | green\n50 | can | yellow\n73 | bottle | blue"
T05_ENUM_TEXT,0.5,True,TEXT,T05_ENUM_TEXT__b0_l5_random_45_60_06__r02_s28102,L5,b0_l5_random_45_60_06,28102,object_error_only,[],[],[],[],True,"[{""asset_id"": ""mug_7"", ""color_correct"": true, ""color_reference"": ""orange-brown"", ""color_strict_correct"": true, ""id"": 55, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""cup_or_mug"", ""object_reference"": ""mug"", ""predicted_color"": ""brown"", ""predicted_object_type"": ""container""}]","visible_ids: [77, 47, 93, 55, 29, 39, 42, 50, 73]\n\n77 | cup | purple\n47 | can | brown\n93 | bottle | blue\n55 | container | brown\n29 | bottle | pink\n39 | can | blue\n42 | bottle | green\n50 | can | yellow\n73 | bottle | blue"
T07_ENUM_TEXT,0.7,True,TEXT,T07_ENUM_TEXT__b0_l5_random_45_60_06__r02_s28102,L5,b0_l5_random_45_60_06,28102,object_error_only,[],[],[],[],True,"[{""asset_id"": ""mug_7"", ""color_correct"": true, ""color_reference"": ""orange-brown"", ""color_strict_correct"": true, ""id"": 55, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""cup_or_mug"", ""object_reference"": ""mug"", ""predicted_color"": ""brown"", ""predicted_object_type"": ""container""}]","visible_ids: [77, 47, 93, 55, 29, 39, 42, 50, 73]\n\n77 | cup | purple\n47 | can | brown\n93 | bottle | blue\n55 | container | brown\n29 | bottle | pink\n39 | can | blue\n42 | bottle | green\n50 | can | yellow\n73 | bottle | blue"
T07_ENUM_TEXT,0.7,True,TEXT,T07_ENUM_TEXT__b0_l3_random_7objects_05__r03_s28103,L3,b0_l3_random_7objects_05,28103,object_error_only,[],[],[],[],True,"[{""asset_id"": ""mug_7"", ""color_correct"": true, ""color_reference"": ""orange-brown"", ""color_strict_correct"": true, ""id"": 59, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""cup_or_mug"", ""object_reference"": ""mug"", ""predicted_color"": ""brown"", ""predicted_object_type"": ""container""}]","visible_ids: [84, 59, 93, 61, 54, 86, 14]\n\n84 | can | brown\n59 | container | brown\n93 | can | brown\n61 | bottle | green\n54 | bottle | green\n86 | can | brown\n14 | mug | brown"
T07_DIRECT_TEXT,0.7,False,TEXT,T07_DIRECT_TEXT__b0_l4_random_30_45_05__r03_s28103,L4,b0_l4_random_30_45_05,28103,object_error_only,[],[],[],[],,"[{""asset_id"": ""cantata"", ""color_correct"": true, ""color_reference"": ""beige-brown"", ""color_strict_correct"": true, ""id"": 66, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""can"", ""object_reference"": ""beverage can"", ""predicted_color"": ""brown"", ""predicted_object_type"": ""cup""}]",28 | cup | purple\n31 | cup | black\n85 | cup | yellow\n73 | cup | white\n66 | cup | brown\n78 | bottle | green\n11 | cup | blue\n56 | bottle | blue
