scene_id,source_benchmark_split,task_id,object_count,occluder_side,occlusion_level,size_cue,variant_index,expected_order,successes_out_of_5,pairwise_accuracy_pct
n3_d1_o2_congruent_moderate_v2,N3-D1,D0_LEFT_TO_RIGHT,2,right,moderate,congruent,2,"[96, 87]",5,100.0
n3_d1_o2_congruent_moderate_v3,N3-D1,D0_LEFT_TO_RIGHT,2,left,moderate,congruent,3,"[81, 43]",5,100.0
n3_d1_o2_congruent_moderate_v4,N3-D1,D0_LEFT_TO_RIGHT,2,right,moderate,congruent,4,"[62, 53]",5,100.0
n3_d1_o2_conflict_mild_v1,N3-D1,D0_LEFT_TO_RIGHT,2,right,mild,conflict,1,"[58, 71]",5,100.0
n3_d1_o2_conflict_mild_v2,N3-D1,D0_LEFT_TO_RIGHT,2,left,mild,conflict,2,"[28, 41]",5,100.0
n3_d1_o2_conflict_mild_v3,N3-D1,D0_LEFT_TO_RIGHT,2,right,mild,conflict,3,"[88, 43]",5,100.0
n3_d1_o2_conflict_mild_v4,N3-D1,D0_LEFT_TO_RIGHT,2,left,mild,conflict,4,"[73, 65]",5,100.0
n3_d1_o2_conflict_moderate_v1,N3-D1,D0_LEFT_TO_RIGHT,2,left,moderate,conflict,1,"[72, 36]",5,100.0
n3_d1_o2_conflict_moderate_v2,N3-D1,D0_LEFT_TO_RIGHT,2,right,moderate,conflict,2,"[31, 74]",5,100.0
n3_d1_o2_conflict_moderate_v3,N3-D1,D0_LEFT_TO_RIGHT,2,right,moderate,conflict,3,"[75, 48]",5,100.0
n3_d1_o2_conflict_moderate_v4,N3-D1,D0_LEFT_TO_RIGHT,2,left,moderate,conflict,4,"[17, 78]",5,100.0
n3_d1_o2_neutral_mild_v1,N3-D1,D0_LEFT_TO_RIGHT,2,right,mild,neutral,1,"[72, 14]",5,100.0
n3_d1_o2_neutral_mild_v2,N3-D1,D0_LEFT_TO_RIGHT,2,left,mild,neutral,2,"[36, 62]",5,100.0
n3_d1_o2_neutral_mild_v3,N3-D1,D0_LEFT_TO_RIGHT,2,left,mild,neutral,3,"[14, 36]",5,100.0
n3_d1_o2_neutral_mild_v4,N3-D1,D0_LEFT_TO_RIGHT,2,right,mild,neutral,4,"[54, 91]",5,100.0
n3_d1_o2_neutral_moderate_v1,N3-D1,D0_LEFT_TO_RIGHT,2,right,moderate,neutral,1,"[43, 16]",5,100.0
n3_d1_o2_neutral_moderate_v2,N3-D1,D0_LEFT_TO_RIGHT,2,left,moderate,neutral,2,"[37, 72]",5,100.0
n3_d1_o2_neutral_moderate_v3,N3-D1,D0_LEFT_TO_RIGHT,2,left,moderate,neutral,3,"[22, 89]",5,100.0
n3_d1_o2_neutral_moderate_v4,N3-D1,D0_LEFT_TO_RIGHT,2,right,moderate,neutral,4,"[51, 37]",5,100.0
n3_d1_o3_congruent_mild_v1,N3-D1,D0_LEFT_TO_RIGHT,3,right,mild,congruent,1,"[25, 55, 50]",5,100.0
n3_d1_o3_congruent_mild_v2,N3-D1,D0_LEFT_TO_RIGHT,3,left,mild,congruent,2,"[60, 22, 84]",5,100.0
n3_d1_o3_congruent_mild_v3,N3-D1,D0_LEFT_TO_RIGHT,3,left,mild,congruent,3,"[26, 37, 23]",5,100.0
n3_d1_o3_congruent_mild_v4,N3-D1,D0_LEFT_TO_RIGHT,3,right,mild,congruent,4,"[91, 95, 80]",5,100.0
n3_d1_o3_congruent_moderate_v1,N3-D1,D0_LEFT_TO_RIGHT,3,right,moderate,congruent,1,"[74, 45, 32]",5,100.0
n3_d1_o3_congruent_moderate_v2,N3-D1,D0_LEFT_TO_RIGHT,3,right,moderate,congruent,2,"[97, 82, 29]",5,100.0
n3_d1_o3_congruent_moderate_v3,N3-D1,D0_LEFT_TO_RIGHT,3,left,moderate,congruent,3,"[45, 25, 36]",5,100.0
n3_d1_o3_congruent_moderate_v4,N3-D1,D0_LEFT_TO_RIGHT,3,left,moderate,congruent,4,"[64, 56, 92]",5,100.0
n3_d1_o3_conflict_mild_v1,N3-D1,D0_LEFT_TO_RIGHT,3,left,mild,conflict,1,"[21, 96, 82]",5,100.0
n3_d1_o3_conflict_mild_v2,N3-D1,D0_LEFT_TO_RIGHT,3,left,mild,conflict,2,"[47, 75, 83]",5,100.0
n3_d1_o3_conflict_mild_v3,N3-D1,D0_LEFT_TO_RIGHT,3,right,mild,conflict,3,"[34, 19, 60]",5,100.0
n3_d1_o3_conflict_mild_v4,N3-D1,D0_LEFT_TO_RIGHT,3,right,mild,conflict,4,"[17, 99, 32]",5,100.0
n3_d1_o3_conflict_moderate_v1,N3-D1,D0_LEFT_TO_RIGHT,3,left,moderate,conflict,1,"[68, 62, 93]",5,100.0
n3_d1_o3_conflict_moderate_v2,N3-D1,D0_LEFT_TO_RIGHT,3,right,moderate,conflict,2,"[96, 36, 19]",5,100.0
n3_d1_o3_conflict_moderate_v3,N3-D1,D0_LEFT_TO_RIGHT,3,right,moderate,conflict,3,"[99, 85, 82]",5,100.0
n3_d1_o3_conflict_moderate_v4,N3-D1,D0_LEFT_TO_RIGHT,3,left,moderate,conflict,4,"[31, 97, 17]",5,100.0
n3_d1_o3_neutral_mild_v1,N3-D1,D0_LEFT_TO_RIGHT,3,right,mild,neutral,1,"[37, 86, 27]",5,100.0
n3_d1_o3_neutral_mild_v2,N3-D1,D0_LEFT_TO_RIGHT,3,left,mild,neutral,2,"[47, 70, 94]",5,100.0
n3_d1_o3_neutral_mild_v3,N3-D1,D0_LEFT_TO_RIGHT,3,right,mild,neutral,3,"[76, 32, 44]",5,100.0
n3_d1_o3_neutral_mild_v4,N3-D1,D0_LEFT_TO_RIGHT,3,left,mild,neutral,4,"[53, 56, 59]",5,100.0
n3_d1_o3_neutral_moderate_v1,N3-D1,D0_LEFT_TO_RIGHT,3,right,moderate,neutral,1,"[15, 44, 90]",5,100.0
n3_d1_o3_neutral_moderate_v2,N3-D1,D0_LEFT_TO_RIGHT,3,left,moderate,neutral,2,"[52, 64, 70]",5,100.0
n3_d1_o3_neutral_moderate_v3,N3-D1,D0_LEFT_TO_RIGHT,3,left,moderate,neutral,3,"[13, 27, 71]",5,100.0
n3_d1_o3_neutral_moderate_v4,N3-D1,D0_LEFT_TO_RIGHT,3,right,moderate,neutral,4,"[19, 60, 91]",5,100.0
