scene_id,scene_family,target_id,object_id,candidate_occlusion_pixels,candidate_occlusion_ratio,truth_relation,run_count,predicted_interference_count,predicted_interference_rate,accuracy,numbered_rgb
scene_fc_clear_v05,FC_CLEAR,62,27,0,0.0,DOES_NOT_INTERFERE,60,9,0.15,0.85,images/numbered_rgb/scene_fc_clear_v05.png
scene_fc_clear_v05,FC_CLEAR,62,42,0,0.0,DOES_NOT_INTERFERE,60,2,0.03333333333333333,0.9666666666666667,images/numbered_rgb/scene_fc_clear_v05.png
scene_fc_clear_v05,FC_CLEAR,62,82,0,0.0,DOES_NOT_INTERFERE,60,14,0.23333333333333334,0.7666666666666667,images/numbered_rgb/scene_fc_clear_v05.png
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,59,16,0,0.0,DOES_NOT_INTERFERE,60,5,0.08333333333333333,0.9166666666666666,images/numbered_rgb/scene_lift_and_relocate_v01.png
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,59,30,0,0.0,DOES_NOT_INTERFERE,60,5,0.08333333333333333,0.9166666666666666,images/numbered_rgb/scene_lift_and_relocate_v01.png
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,59,32,0,0.0,DOES_NOT_INTERFERE,60,5,0.08333333333333333,0.9166666666666666,images/numbered_rgb/scene_lift_and_relocate_v01.png
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,59,64,6071,0.606130192,INTERFERES,60,16,0.26666666666666666,0.26666666666666666,images/numbered_rgb/scene_lift_and_relocate_v01.png
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,59,79,0,0.0,DOES_NOT_INTERFERE,60,11,0.18333333333333332,0.8166666666666667,images/numbered_rgb/scene_lift_and_relocate_v01.png
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,70,14,2951,0.300692888,INTERFERES,60,57,0.95,0.95,images/numbered_rgb/scene_lift_and_relocate_v02.png
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,70,22,0,0.0,DOES_NOT_INTERFERE,60,55,0.9166666666666666,0.08333333333333333,images/numbered_rgb/scene_lift_and_relocate_v02.png
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,70,72,0,0.0,DOES_NOT_INTERFERE,60,51,0.85,0.15,images/numbered_rgb/scene_lift_and_relocate_v02.png
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,70,77,0,0.0,DOES_NOT_INTERFERE,60,50,0.8333333333333334,0.16666666666666666,images/numbered_rgb/scene_lift_and_relocate_v02.png
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,70,79,0,0.0,DOES_NOT_INTERFERE,60,50,0.8333333333333334,0.16666666666666666,images/numbered_rgb/scene_lift_and_relocate_v02.png
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,12,16,0,0.0,DOES_NOT_INTERFERE,60,60,1.0,0.0,images/numbered_rgb/scene_lift_and_relocate_v03.png
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,12,35,3422,0.351479047,INTERFERES,60,60,1.0,1.0,images/numbered_rgb/scene_lift_and_relocate_v03.png
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,12,50,0,0.0,DOES_NOT_INTERFERE,60,33,0.55,0.45,images/numbered_rgb/scene_lift_and_relocate_v03.png
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,12,80,0,0.0,DOES_NOT_INTERFERE,60,43,0.7166666666666667,0.2833333333333333,images/numbered_rgb/scene_lift_and_relocate_v03.png
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,12,92,0,0.0,DOES_NOT_INTERFERE,60,33,0.55,0.45,images/numbered_rgb/scene_lift_and_relocate_v03.png
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,68,30,0,0.0,DOES_NOT_INTERFERE,60,21,0.35,0.65,images/numbered_rgb/scene_lift_and_relocate_v04.png
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,68,45,0,0.0,DOES_NOT_INTERFERE,60,21,0.35,0.65,images/numbered_rgb/scene_lift_and_relocate_v04.png
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,68,54,0,0.0,DOES_NOT_INTERFERE,60,3,0.05,0.95,images/numbered_rgb/scene_lift_and_relocate_v04.png
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,68,73,5697,0.581504542,INTERFERES,60,46,0.7666666666666667,0.7666666666666667,images/numbered_rgb/scene_lift_and_relocate_v04.png
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,43,15,6011,0.625038993,INTERFERES,60,60,1.0,1.0,images/numbered_rgb/scene_lift_and_relocate_v05.png
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,43,24,0,0.0,DOES_NOT_INTERFERE,60,55,0.9166666666666666,0.08333333333333333,images/numbered_rgb/scene_lift_and_relocate_v05.png
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,43,48,0,0.0,DOES_NOT_INTERFERE,60,55,0.9166666666666666,0.08333333333333333,images/numbered_rgb/scene_lift_and_relocate_v05.png
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,43,52,0,0.0,DOES_NOT_INTERFERE,60,55,0.9166666666666666,0.08333333333333333,images/numbered_rgb/scene_lift_and_relocate_v05.png
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,43,76,0,0.0,DOES_NOT_INTERFERE,60,55,0.9166666666666666,0.08333333333333333,images/numbered_rgb/scene_lift_and_relocate_v05.png
scene_rotate_v01,ROTATE,12,41,0,0.0,DOES_NOT_INTERFERE,60,60,1.0,0.0,images/numbered_rgb/scene_rotate_v01.png
scene_rotate_v01,ROTATE,12,54,0,0.0,DOES_NOT_INTERFERE,60,60,1.0,0.0,images/numbered_rgb/scene_rotate_v01.png
scene_rotate_v01,ROTATE,12,88,0,0.0,DOES_NOT_INTERFERE,60,59,0.9833333333333333,0.016666666666666666,images/numbered_rgb/scene_rotate_v01.png
scene_rotate_v01,ROTATE,12,95,1780,0.190150625,INTERFERES,60,59,0.9833333333333333,0.9833333333333333,images/numbered_rgb/scene_rotate_v01.png
scene_rotate_v02,ROTATE,38,29,0,0.0,DOES_NOT_INTERFERE,60,26,0.43333333333333335,0.5666666666666667,images/numbered_rgb/scene_rotate_v02.png
scene_rotate_v02,ROTATE,38,44,0,0.0,DOES_NOT_INTERFERE,60,23,0.38333333333333336,0.6166666666666667,images/numbered_rgb/scene_rotate_v02.png
scene_rotate_v02,ROTATE,38,50,3147,0.34054756,INTERFERES,60,41,0.6833333333333333,0.6833333333333333,images/numbered_rgb/scene_rotate_v02.png
scene_rotate_v02,ROTATE,38,74,0,0.0,DOES_NOT_INTERFERE,60,15,0.25,0.75,images/numbered_rgb/scene_rotate_v02.png
scene_rotate_v03,ROTATE,83,11,0,0.0,DOES_NOT_INTERFERE,60,22,0.36666666666666664,0.6333333333333333,images/numbered_rgb/scene_rotate_v03.png
scene_rotate_v03,ROTATE,83,19,2156,0.230317274,INTERFERES,60,38,0.6333333333333333,0.6333333333333333,images/numbered_rgb/scene_rotate_v03.png
scene_rotate_v03,ROTATE,83,23,0,0.0,DOES_NOT_INTERFERE,60,22,0.36666666666666664,0.6333333333333333,images/numbered_rgb/scene_rotate_v03.png
scene_rotate_v03,ROTATE,83,41,0,0.0,DOES_NOT_INTERFERE,60,18,0.3,0.7,images/numbered_rgb/scene_rotate_v03.png
scene_rotate_v04,ROTATE,47,25,0,0.0,DOES_NOT_INTERFERE,60,24,0.4,0.6,images/numbered_rgb/scene_rotate_v04.png
scene_rotate_v04,ROTATE,47,29,0,0.0,DOES_NOT_INTERFERE,60,24,0.4,0.6,images/numbered_rgb/scene_rotate_v04.png
scene_rotate_v04,ROTATE,47,53,0,0.0,DOES_NOT_INTERFERE,60,9,0.15,0.85,images/numbered_rgb/scene_rotate_v04.png
scene_rotate_v04,ROTATE,47,95,3912,0.423330808,INTERFERES,60,9,0.15,0.15,images/numbered_rgb/scene_rotate_v04.png
scene_rotate_v05,ROTATE,44,11,0,0.0,DOES_NOT_INTERFERE,60,0,0.0,1.0,images/numbered_rgb/scene_rotate_v05.png
scene_rotate_v05,ROTATE,44,72,0,0.0,DOES_NOT_INTERFERE,60,0,0.0,1.0,images/numbered_rgb/scene_rotate_v05.png
scene_rotate_v05,ROTATE,44,82,6522,0.70983892,INTERFERES,60,0,0.0,0.0,images/numbered_rgb/scene_rotate_v05.png
scene_rotate_v05,ROTATE,44,97,0,0.0,DOES_NOT_INTERFERE,60,0,0.0,1.0,images/numbered_rgb/scene_rotate_v05.png
scene_rotate_v05,ROTATE,44,99,0,0.0,DOES_NOT_INTERFERE,60,0,0.0,1.0,images/numbered_rgb/scene_rotate_v05.png
scene_translate_v01,TRANSLATE,67,35,6313,0.630291534,INTERFERES,60,60,1.0,1.0,images/numbered_rgb/scene_translate_v01.png
scene_translate_v02,TRANSLATE,45,81,0,0.0,DOES_NOT_INTERFERE,60,55,0.9166666666666666,0.08333333333333333,images/numbered_rgb/scene_translate_v02.png
scene_translate_v02,TRANSLATE,45,86,0,0.0,DOES_NOT_INTERFERE,60,0,0.0,1.0,images/numbered_rgb/scene_translate_v02.png
scene_translate_v02,TRANSLATE,45,95,2263,0.230800612,INTERFERES,60,60,1.0,1.0,images/numbered_rgb/scene_translate_v02.png
scene_translate_v03,TRANSLATE,18,39,0,0.0,DOES_NOT_INTERFERE,60,38,0.6333333333333333,0.36666666666666664,images/numbered_rgb/scene_translate_v03.png
scene_translate_v03,TRANSLATE,18,41,0,0.0,DOES_NOT_INTERFERE,60,38,0.6333333333333333,0.36666666666666664,images/numbered_rgb/scene_translate_v03.png
scene_translate_v03,TRANSLATE,18,45,4270,0.464483846,INTERFERES,60,38,0.6333333333333333,0.6333333333333333,images/numbered_rgb/scene_translate_v03.png
scene_translate_v04,TRANSLATE,13,41,0,0.0,DOES_NOT_INTERFERE,60,12,0.2,0.8,images/numbered_rgb/scene_translate_v04.png
scene_translate_v04,TRANSLATE,13,77,0,0.0,DOES_NOT_INTERFERE,60,3,0.05,0.95,images/numbered_rgb/scene_translate_v04.png
scene_translate_v04,TRANSLATE,13,84,5103,0.572727273,INTERFERES,60,45,0.75,0.75,images/numbered_rgb/scene_translate_v04.png
scene_translate_v05,TRANSLATE,54,49,0,0.0,DOES_NOT_INTERFERE,60,0,0.0,1.0,images/numbered_rgb/scene_translate_v05.png
scene_translate_v05,TRANSLATE,54,66,0,0.0,DOES_NOT_INTERFERE,60,0,0.0,1.0,images/numbered_rgb/scene_translate_v05.png
scene_translate_v05,TRANSLATE,54,79,5350,0.524458386,INTERFERES,60,1,0.016666666666666666,0.016666666666666666,images/numbered_rgb/scene_translate_v05.png
scene_translate_v05,TRANSLATE,54,82,0,0.0,DOES_NOT_INTERFERE,60,0,0.0,1.0,images/numbered_rgb/scene_translate_v05.png
