run_id,scene_id,family,seed,target_object_id,gt_reason,valid_blocker_ids,predicted_reason,predicted_blocker_id,reason_correct,blocker_correct,joint_correct
v19__scene_fc_blocked_v05__L3__C2_D4__r03_s28103,scene_fc_blocked_v05,FC_BLOCKED,28103,59,BOTH,[26],CLEARANCE_OVERLAP,26,False,True,False
v19__scene_fc_blocked_v04__L3__C2_D4__r04_s28104,scene_fc_blocked_v04,FC_BLOCKED,28104,89,CLEARANCE_OVERLAP,[19],CLEARANCE_OVERLAP,19,True,True,True
v19__scene_lift_and_relocate_v01__L3__C2_D4__r01_s28101,scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,28101,59,BOTH,[64],CLEARANCE_OVERLAP,64,False,True,False
v19__scene_translate_v04__L3__C2_D4__r03_s28103,scene_translate_v04,TRANSLATE,28103,13,OCCLUSION,[84],BOTH,84,False,True,False
v19__scene_translate_v04__L3__C2_D4__r04_s28104,scene_translate_v04,TRANSLATE,28104,13,OCCLUSION,[84],BOTH,84,False,True,False
v19__scene_fc_blocked_v05__L3__C2_D4__r01_s28101,scene_fc_blocked_v05,FC_BLOCKED,28101,59,BOTH,[26],CLEARANCE_OVERLAP,26,False,True,False
v19__scene_fc_blocked_v01__L3__C2_D4__r04_s28104,scene_fc_blocked_v01,FC_BLOCKED,28104,64,CLEARANCE_OVERLAP,[40],CLEARANCE_OVERLAP,40,True,True,True
v19__scene_fc_clear_v01__L3__C2_D4__r05_s28105,scene_fc_clear_v01,FC_CLEAR,28105,53,NONE,[],NONE,,True,True,True
v19__scene_fc_clear_v02__L3__C2_D4__r04_s28104,scene_fc_clear_v02,FC_CLEAR,28104,29,NONE,[],NONE,,True,True,True
v19__scene_translate_v01__L3__C2_D4__r04_s28104,scene_translate_v01,TRANSLATE,28104,67,BOTH,[35],CLEARANCE_OVERLAP,35,False,True,False
v19__scene_lift_and_relocate_v05__L3__C2_D4__r05_s28105,scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,28105,43,BOTH,[15],CLEARANCE_OVERLAP,15,False,True,False
v19__scene_fc_blocked_v04__L3__C2_D4__r05_s28105,scene_fc_blocked_v04,FC_BLOCKED,28105,89,CLEARANCE_OVERLAP,[19],CLEARANCE_OVERLAP,19,True,True,True
v19__scene_fc_clear_v04__L3__C2_D4__r02_s28102,scene_fc_clear_v04,FC_CLEAR,28102,61,NONE,[],BOTH,38,False,False,False
v19__scene_translate_v05__L3__C2_D4__r05_s28105,scene_translate_v05,TRANSLATE,28105,54,BOTH,[79],CLEARANCE_OVERLAP,79,False,True,False
v19__scene_translate_v05__L3__C2_D4__r03_s28103,scene_translate_v05,TRANSLATE,28103,54,BOTH,[79],CLEARANCE_OVERLAP,79,False,True,False
v19__scene_translate_v02__L3__C2_D4__r01_s28101,scene_translate_v02,TRANSLATE,28101,45,BOTH,[95],BOTH,95,True,True,True
v19__scene_lift_and_relocate_v03__L3__C2_D4__r01_s28101,scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,28101,12,BOTH,[35],CLEARANCE_OVERLAP,35,False,True,False
v19__scene_fc_clear_v03__L3__C2_D4__r04_s28104,scene_fc_clear_v03,FC_CLEAR,28104,95,NONE,[],NONE,,True,True,True
v19__scene_fc_blocked_v02__L3__C2_D4__r04_s28104,scene_fc_blocked_v02,FC_BLOCKED,28104,53,CLEARANCE_OVERLAP,[49],CLEARANCE_OVERLAP,49,True,True,True
v19__scene_rotate_v03__L3__C2_D4__r05_s28105,scene_rotate_v03,ROTATE,28105,83,OCCLUSION,[19],BOTH,19,False,True,False
v19__scene_lift_and_relocate_v03__L3__C2_D4__r05_s28105,scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,28105,12,BOTH,[35],BOTH,35,True,True,True
v19__scene_fc_clear_v01__L3__C2_D4__r02_s28102,scene_fc_clear_v01,FC_CLEAR,28102,53,NONE,[],NONE,,True,True,True
v19__scene_fc_blocked_v03__L3__C2_D4__r01_s28101,scene_fc_blocked_v03,FC_BLOCKED,28101,12,CLEARANCE_OVERLAP,[33],CLEARANCE_OVERLAP,33,True,True,True
v19__scene_translate_v01__L3__C2_D4__r01_s28101,scene_translate_v01,TRANSLATE,28101,67,BOTH,[35],CLEARANCE_OVERLAP,35,False,True,False
v19__scene_lift_and_relocate_v05__L3__C2_D4__r03_s28103,scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,28103,43,BOTH,[15],CLEARANCE_OVERLAP,15,False,True,False
v19__scene_fc_clear_v02__L3__C2_D4__r03_s28103,scene_fc_clear_v02,FC_CLEAR,28103,29,NONE,[],NONE,,True,True,True
v19__scene_rotate_v03__L3__C2_D4__r03_s28103,scene_rotate_v03,ROTATE,28103,83,OCCLUSION,[19],BOTH,19,False,True,False
v19__scene_lift_and_relocate_v02__L3__C2_D4__r01_s28101,scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,28101,70,BOTH,[14],CLEARANCE_OVERLAP,14,False,True,False
v19__scene_rotate_v02__L3__C2_D4__r01_s28101,scene_rotate_v02,ROTATE,28101,38,OCCLUSION,[50],BOTH,50,False,True,False
v19__scene_fc_blocked_v05__L3__C2_D4__r04_s28104,scene_fc_blocked_v05,FC_BLOCKED,28104,59,BOTH,[26],CLEARANCE_OVERLAP,26,False,True,False
v19__scene_translate_v03__L3__C2_D4__r05_s28105,scene_translate_v03,TRANSLATE,28105,18,OCCLUSION,[45],CLEARANCE_OVERLAP,45,False,True,False
v19__scene_rotate_v01__L3__C2_D4__r02_s28102,scene_rotate_v01,ROTATE,28102,12,OCCLUSION,[95],CLEARANCE_OVERLAP,54,False,False,False
v19__scene_translate_v01__L3__C2_D4__r03_s28103,scene_translate_v01,TRANSLATE,28103,67,BOTH,[35],CLEARANCE_OVERLAP,35,False,True,False
v19__scene_lift_and_relocate_v02__L3__C2_D4__r02_s28102,scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,28102,70,BOTH,[14],CLEARANCE_OVERLAP,14,False,True,False
v19__scene_fc_clear_v04__L3__C2_D4__r01_s28101,scene_fc_clear_v04,FC_CLEAR,28101,61,NONE,[],NONE,,True,True,True
v19__scene_fc_blocked_v03__L3__C2_D4__r03_s28103,scene_fc_blocked_v03,FC_BLOCKED,28103,12,CLEARANCE_OVERLAP,[33],CLEARANCE_OVERLAP,33,True,True,True
v19__scene_rotate_v05__L3__C2_D4__r04_s28104,scene_rotate_v05,ROTATE,28104,44,OCCLUSION,[82],BOTH,82,False,True,False
v19__scene_fc_clear_v01__L3__C2_D4__r03_s28103,scene_fc_clear_v01,FC_CLEAR,28103,53,NONE,[],NONE,,True,True,True
v19__scene_lift_and_relocate_v03__L3__C2_D4__r02_s28102,scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,28102,12,BOTH,[35],BOTH,35,True,True,True
v19__scene_lift_and_relocate_v01__L3__C2_D4__r05_s28105,scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,28105,59,BOTH,[64],CLEARANCE_OVERLAP,64,False,True,False
v19__scene_fc_blocked_v04__L3__C2_D4__r01_s28101,scene_fc_blocked_v04,FC_BLOCKED,28101,89,CLEARANCE_OVERLAP,[19],CLEARANCE_OVERLAP,19,True,True,True
v19__scene_fc_clear_v01__L3__C2_D4__r04_s28104,scene_fc_clear_v01,FC_CLEAR,28104,53,NONE,[],NONE,,True,True,True
v19__scene_rotate_v04__L3__C2_D4__r02_s28102,scene_rotate_v04,ROTATE,28102,47,OCCLUSION,[95],BOTH,95,False,True,False
v19__scene_rotate_v01__L3__C2_D4__r04_s28104,scene_rotate_v01,ROTATE,28104,12,OCCLUSION,[95],CLEARANCE_OVERLAP,54,False,False,False
v19__scene_translate_v02__L3__C2_D4__r03_s28103,scene_translate_v02,TRANSLATE,28103,45,BOTH,[95],BOTH,95,True,True,True
v19__scene_rotate_v04__L3__C2_D4__r01_s28101,scene_rotate_v04,ROTATE,28101,47,OCCLUSION,[95],CLEARANCE_OVERLAP,25,False,False,False
v19__scene_lift_and_relocate_v04__L3__C2_D4__r03_s28103,scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,28103,68,BOTH,[73],BOTH,73,True,True,True
v19__scene_fc_clear_v02__L3__C2_D4__r01_s28101,scene_fc_clear_v02,FC_CLEAR,28101,29,NONE,[],NONE,,True,True,True
v19__scene_fc_blocked_v03__L3__C2_D4__r04_s28104,scene_fc_blocked_v03,FC_BLOCKED,28104,12,CLEARANCE_OVERLAP,[33],CLEARANCE_OVERLAP,33,True,True,True
v19__scene_fc_clear_v05__L3__C2_D4__r03_s28103,scene_fc_clear_v05,FC_CLEAR,28103,62,CLEARANCE_OVERLAP,[82],CLEARANCE_OVERLAP,82,True,True,True
v19__scene_fc_blocked_v05__L3__C2_D4__r05_s28105,scene_fc_blocked_v05,FC_BLOCKED,28105,59,BOTH,[26],CLEARANCE_OVERLAP,26,False,True,False
v19__scene_lift_and_relocate_v05__L3__C2_D4__r01_s28101,scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,28101,43,BOTH,[15],CLEARANCE_OVERLAP,15,False,True,False
v19__scene_translate_v05__L3__C2_D4__r01_s28101,scene_translate_v05,TRANSLATE,28101,54,BOTH,[79],CLEARANCE_OVERLAP,79,False,True,False
v19__scene_translate_v01__L3__C2_D4__r02_s28102,scene_translate_v01,TRANSLATE,28102,67,BOTH,[35],CLEARANCE_OVERLAP,35,False,True,False
v19__scene_fc_clear_v02__L3__C2_D4__r05_s28105,scene_fc_clear_v02,FC_CLEAR,28105,29,NONE,[],NONE,,True,True,True
v19__scene_fc_clear_v05__L3__C2_D4__r05_s28105,scene_fc_clear_v05,FC_CLEAR,28105,62,CLEARANCE_OVERLAP,[82],CLEARANCE_OVERLAP,82,True,True,True
v19__scene_fc_clear_v04__L3__C2_D4__r03_s28103,scene_fc_clear_v04,FC_CLEAR,28103,61,NONE,[],NONE,,True,True,True
v19__scene_fc_blocked_v02__L3__C2_D4__r02_s28102,scene_fc_blocked_v02,FC_BLOCKED,28102,53,CLEARANCE_OVERLAP,[49],BOTH,49,False,True,False
v19__scene_fc_blocked_v01__L3__C2_D4__r01_s28101,scene_fc_blocked_v01,FC_BLOCKED,28101,64,CLEARANCE_OVERLAP,[40],CLEARANCE_OVERLAP,40,True,True,True
v19__scene_rotate_v05__L3__C2_D4__r01_s28101,scene_rotate_v05,ROTATE,28101,44,OCCLUSION,[82],CLEARANCE_OVERLAP,82,False,True,False
v19__scene_fc_blocked_v05__L3__C2_D4__r02_s28102,scene_fc_blocked_v05,FC_BLOCKED,28102,59,BOTH,[26],CLEARANCE_OVERLAP,26,False,True,False
v19__scene_translate_v04__L3__C2_D4__r05_s28105,scene_translate_v04,TRANSLATE,28105,13,OCCLUSION,[84],BOTH,84,False,True,False
v19__scene_fc_clear_v01__L3__C2_D4__r01_s28101,scene_fc_clear_v01,FC_CLEAR,28101,53,NONE,[],NONE,,True,True,True
v19__scene_fc_clear_v02__L3__C2_D4__r02_s28102,scene_fc_clear_v02,FC_CLEAR,28102,29,NONE,[],BOTH,10,False,False,False
v19__scene_fc_clear_v04__L3__C2_D4__r05_s28105,scene_fc_clear_v04,FC_CLEAR,28105,61,NONE,[],NONE,,True,True,True
v19__scene_rotate_v04__L3__C2_D4__r04_s28104,scene_rotate_v04,ROTATE,28104,47,OCCLUSION,[95],BOTH,95,False,True,False
v19__scene_fc_blocked_v04__L3__C2_D4__r02_s28102,scene_fc_blocked_v04,FC_BLOCKED,28102,89,CLEARANCE_OVERLAP,[19],CLEARANCE_OVERLAP,19,True,True,True
v19__scene_fc_clear_v05__L3__C2_D4__r04_s28104,scene_fc_clear_v05,FC_CLEAR,28104,62,CLEARANCE_OVERLAP,[82],CLEARANCE_OVERLAP,82,True,True,True
v19__scene_lift_and_relocate_v03__L3__C2_D4__r03_s28103,scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,28103,12,BOTH,[35],CLEARANCE_OVERLAP,35,False,True,False
v19__scene_lift_and_relocate_v02__L3__C2_D4__r04_s28104,scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,28104,70,BOTH,[14],CLEARANCE_OVERLAP,14,False,True,False
v19__scene_fc_blocked_v01__L3__C2_D4__r02_s28102,scene_fc_blocked_v01,FC_BLOCKED,28102,64,CLEARANCE_OVERLAP,[40],CLEARANCE_OVERLAP,40,True,True,True
v19__scene_rotate_v01__L3__C2_D4__r05_s28105,scene_rotate_v01,ROTATE,28105,12,OCCLUSION,[95],CLEARANCE_OVERLAP,54,False,False,False
v19__scene_rotate_v01__L3__C2_D4__r03_s28103,scene_rotate_v01,ROTATE,28103,12,OCCLUSION,[95],CLEARANCE_OVERLAP,54,False,False,False
v19__scene_rotate_v04__L3__C2_D4__r03_s28103,scene_rotate_v04,ROTATE,28103,47,OCCLUSION,[95],CLEARANCE_OVERLAP,25,False,False,False
v19__scene_rotate_v02__L3__C2_D4__r02_s28102,scene_rotate_v02,ROTATE,28102,38,OCCLUSION,[50],BOTH,50,False,True,False
v19__scene_translate_v03__L3__C2_D4__r04_s28104,scene_translate_v03,TRANSLATE,28104,18,OCCLUSION,[45],BOTH,45,False,True,False
v19__scene_fc_clear_v03__L3__C2_D4__r05_s28105,scene_fc_clear_v03,FC_CLEAR,28105,95,NONE,[],NONE,,True,True,True
v19__scene_fc_clear_v03__L3__C2_D4__r03_s28103,scene_fc_clear_v03,FC_CLEAR,28103,95,NONE,[],NONE,,True,True,True
v19__scene_fc_clear_v03__L3__C2_D4__r02_s28102,scene_fc_clear_v03,FC_CLEAR,28102,95,NONE,[],NONE,,True,True,True
v19__scene_lift_and_relocate_v04__L3__C2_D4__r05_s28105,scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,28105,68,BOTH,[73],BOTH,73,True,True,True
v19__scene_translate_v02__L3__C2_D4__r04_s28104,scene_translate_v02,TRANSLATE,28104,45,BOTH,[95],BOTH,95,True,True,True
v19__scene_translate_v03__L3__C2_D4__r03_s28103,scene_translate_v03,TRANSLATE,28103,18,OCCLUSION,[45],CLEARANCE_OVERLAP,45,False,True,False
v19__scene_lift_and_relocate_v01__L3__C2_D4__r04_s28104,scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,28104,59,BOTH,[64],BOTH,64,True,True,True
v19__scene_fc_blocked_v01__L3__C2_D4__r03_s28103,scene_fc_blocked_v01,FC_BLOCKED,28103,64,CLEARANCE_OVERLAP,[40],CLEARANCE_OVERLAP,40,True,True,True
v19__scene_rotate_v04__L3__C2_D4__r05_s28105,scene_rotate_v04,ROTATE,28105,47,OCCLUSION,[95],CLEARANCE_OVERLAP,95,False,True,False
v19__scene_lift_and_relocate_v01__L3__C2_D4__r03_s28103,scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,28103,59,BOTH,[64],CLEARANCE_OVERLAP,64,False,True,False
v19__scene_rotate_v05__L3__C2_D4__r03_s28103,scene_rotate_v05,ROTATE,28103,44,OCCLUSION,[82],BOTH,82,False,True,False
v19__scene_translate_v05__L3__C2_D4__r02_s28102,scene_translate_v05,TRANSLATE,28102,54,BOTH,[79],BOTH,79,True,True,True
v19__scene_fc_blocked_v02__L3__C2_D4__r03_s28103,scene_fc_blocked_v02,FC_BLOCKED,28103,53,CLEARANCE_OVERLAP,[49],CLEARANCE_OVERLAP,49,True,True,True
v19__scene_translate_v05__L3__C2_D4__r04_s28104,scene_translate_v05,TRANSLATE,28104,54,BOTH,[79],BOTH,79,True,True,True
v19__scene_translate_v01__L3__C2_D4__r05_s28105,scene_translate_v01,TRANSLATE,28105,67,BOTH,[35],CLEARANCE_OVERLAP,35,False,True,False
v19__scene_rotate_v02__L3__C2_D4__r03_s28103,scene_rotate_v02,ROTATE,28103,38,OCCLUSION,[50],BOTH,50,False,True,False
v19__scene_translate_v04__L3__C2_D4__r01_s28101,scene_translate_v04,TRANSLATE,28101,13,OCCLUSION,[84],BOTH,84,False,True,False
v19__scene_lift_and_relocate_v04__L3__C2_D4__r02_s28102,scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,28102,68,BOTH,[73],BOTH,73,True,True,True
v19__scene_lift_and_relocate_v05__L3__C2_D4__r02_s28102,scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,28102,43,BOTH,[15],BOTH,15,True,True,True
v19__scene_fc_blocked_v02__L3__C2_D4__r05_s28105,scene_fc_blocked_v02,FC_BLOCKED,28105,53,CLEARANCE_OVERLAP,[49],CLEARANCE_OVERLAP,49,True,True,True
v19__scene_lift_and_relocate_v02__L3__C2_D4__r05_s28105,scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,28105,70,BOTH,[14],CLEARANCE_OVERLAP,14,False,True,False
v19__scene_lift_and_relocate_v04__L3__C2_D4__r01_s28101,scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,28101,68,BOTH,[73],BOTH,73,True,True,True
v19__scene_rotate_v02__L3__C2_D4__r04_s28104,scene_rotate_v02,ROTATE,28104,38,OCCLUSION,[50],BOTH,50,False,True,False
v19__scene_translate_v02__L3__C2_D4__r05_s28105,scene_translate_v02,TRANSLATE,28105,45,BOTH,[95],CLEARANCE_OVERLAP,95,False,True,False
v19__scene_fc_blocked_v04__L3__C2_D4__r03_s28103,scene_fc_blocked_v04,FC_BLOCKED,28103,89,CLEARANCE_OVERLAP,[19],CLEARANCE_OVERLAP,19,True,True,True
v19__scene_rotate_v02__L3__C2_D4__r05_s28105,scene_rotate_v02,ROTATE,28105,38,OCCLUSION,[50],BOTH,50,False,True,False
v19__scene_rotate_v01__L3__C2_D4__r01_s28101,scene_rotate_v01,ROTATE,28101,12,OCCLUSION,[95],CLEARANCE_OVERLAP,54,False,False,False
v19__scene_translate_v03__L3__C2_D4__r01_s28101,scene_translate_v03,TRANSLATE,28101,18,OCCLUSION,[45],CLEARANCE_OVERLAP,45,False,True,False
v19__scene_fc_blocked_v02__L3__C2_D4__r01_s28101,scene_fc_blocked_v02,FC_BLOCKED,28101,53,CLEARANCE_OVERLAP,[49],CLEARANCE_OVERLAP,49,True,True,True
v19__scene_rotate_v03__L3__C2_D4__r02_s28102,scene_rotate_v03,ROTATE,28102,83,OCCLUSION,[19],BOTH,19,False,True,False
v19__scene_fc_clear_v04__L3__C2_D4__r04_s28104,scene_fc_clear_v04,FC_CLEAR,28104,61,NONE,[],NONE,,True,True,True
v19__scene_rotate_v05__L3__C2_D4__r05_s28105,scene_rotate_v05,ROTATE,28105,44,OCCLUSION,[82],BOTH,82,False,True,False
v19__scene_fc_blocked_v03__L3__C2_D4__r05_s28105,scene_fc_blocked_v03,FC_BLOCKED,28105,12,CLEARANCE_OVERLAP,[33],CLEARANCE_OVERLAP,33,True,True,True
v19__scene_rotate_v03__L3__C2_D4__r01_s28101,scene_rotate_v03,ROTATE,28101,83,OCCLUSION,[19],BOTH,19,False,True,False
v19__scene_fc_clear_v03__L3__C2_D4__r01_s28101,scene_fc_clear_v03,FC_CLEAR,28101,95,NONE,[],NONE,,True,True,True
